start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,associated_pci
"(34.9787752, -105.0380343, 2)","(34.975343, -104.9717649, 2)",35019961600,6.063490349926923,35019961600,1.45,342
"(34.975343, -104.9717649, 2)","(34.9751057, -104.9675701, 2)",35019961600,0.38395471802405384,35019961600,1.45,388
"(34.9751057, -104.9675701, 2)","(34.97493559569129, -104.9634964847538, 2)",35019961600,0.3724643509714707,35019961600,1.45,239
"(34.97493559569129, -104.9634964847538, 2)","(34.9722164, -104.9105775, 2)",35019961600,4.84253302726985,35019961600,1.45,388
"(34.9722164, -104.9105775, 2)","(34.971757706930696, -104.90153813485148, 2)",35019961600,0.8270867865177364,35019961600,1.45,294
"(34.971757706930696, -104.90153813485148, 2)","(34.9712277, -104.8922088, 2)",35019961600,0.8540163261189867,35019961600,1.45,388
"(34.9712277, -104.8922088, 2)","(34.9687711, -104.7902102, 2)",35019961600,9.322062513992636,35019961600,1.45,294
"(34.9687711, -104.7902102, 2)","(34.9678004009901, -104.78188828873174, 2)",35019961600,0.7715595755569425,35019961600,1.45,295
"(34.9678004009901, -104.78188828873174, 2)","(34.9677437, -104.7816162, 2)",35019961600,0.025632079980451715,35019961600,1.45,65
"(34.9677437, -104.7816162, 2)","(34.966996506061854, -104.77788039418556, 2)",35019961600,0.35109620500190475,35019961600,1.45,291
"(34.966996506061854, -104.77788039418556, 2)","(34.964203871110406, -104.7447693756602, 2)",35019961600,3.044119094169294,35019961600,1.45,65
"(34.964203871110406, -104.7447693756602, 2)","(34.9527211, -104.720109, 2)",35019961600,2.611405811185628,35019961600,1.45,291
"(34.9527211, -104.720109, 2)","(34.9506563, -104.7165313, 2)",35019961600,0.3990819258977822,35019961600,1.45,65
"(34.9506563, -104.7165313, 2)","(34.9485127, -104.6825834, 2)",35019961600,3.2975584270494003,35019961600,1.45,291
"(34.9485127, -104.6825834, 2)","(34.9638616, -104.6061245, 2)",35019961600,7.6344846239327415,35019961600,1.45,212
"(34.9638616, -104.6061245, 2)","(34.9818236, -104.5682888, 2)",35019961600,3.989035207615892,35019961600,1.45,33
"(34.9818236, -104.5682888, 2)","(34.9854118, -104.5607194, 2)",35019961600,0.7975833086429592,35019961600,1.45,212
"(34.9854118, -104.5607194, 2)","(35.011071, -104.498647, 2)",35019961600,6.374425985116303,35019961600,1.45,33
"(35.011071, -104.498647, 2)","(35.0113153, -104.4778164, 2)",35019961600,1.9055453182915778,35019961600,1.45,253
"(35.0113153, -104.4778164, 2)","(35.04722204214523, -104.37613670749882, 2)",35019961600,10.258934705589427,35019961600,1.45,398
"(35.04722204214523, -104.37613670749882, 2)","(35.04877776909161, -104.3649717773672, 2)",35019961600,1.0343853153771791,35019961600,1.45,285
"(35.04877776909161, -104.3649717773672, 2)","(35.0501658, -104.3528009, 2)",35019961600,1.1210671319681158,35019961600,1.45,39
"(35.0501658, -104.3528009, 2)","(35.0560007, -104.3224758, 2)",35019961600,2.8539891037826046,35019961600,1.45,411
"(35.0560007, -104.3224758, 2)","(35.0593703, -104.3102279, 2)",35019961600,1.178191606934928,35019961600,1.45,39
"(35.0593703, -104.3102279, 2)","(35.0616, -104.3020024, 2)",35019961600,0.7900631028773302,35019961600,1.45,411
"(35.0616, -104.3020024, 2)","(35.0629116, -104.2924293, 2)",35019961600,0.885745528891713,35019961600,1.45,39
"(35.0629116, -104.2924293, 2)","(35.06314654297872, -104.2903806480851, 2)",35019961600,0.18868322298118065,35019961600,1.45,285
"(35.06314654297872, -104.2903806480851, 2)","(35.063624928127936, -104.2859235720602, 2)",35019961600,0.4100317267088791,35019961600,1.45,39
"(35.063624928127936, -104.2859235720602, 2)","(35.0638478, -104.2836629, 2)",35019961600,0.2076896045012218,35019961600,1.45,285
"(35.0638478, -104.2836629, 2)","(35.065266596819086, -104.26985230596422, 2)",35019961600,1.2695515633625019,35019961600,1.45,39
"(35.065266596819086, -104.26985230596422, 2)","(35.065608798926895, -104.2667050348424, 2)",35019961600,0.28957929170554897,35019961600,1.45,411
"(35.065608798926895, -104.2667050348424, 2)","(35.06748509389494, -104.24954418982487, 2)",35019961600,1.5792512792722442,35019961600,1.45,39
"(35.06748509389494, -104.24954418982487, 2)","(35.0682217, -104.2425159, 2)",35019961600,0.6462664997146987,35019961600,1.45,287
"(35.0682217, -104.2425159, 2)","(35.06850348068933, -104.24000019697829, 2)",35019961600,0.2315825078834195,35019961600,1.45,39
"(35.06850348068933, -104.24000019697829, 2)","(35.0697266, -104.2281129, 2)",35019961600,1.0927480528111564,35019961600,1.45,287
"(35.0697266, -104.2281129, 2)","(35.07003126426881, -104.22433731353526, 2)",35019961600,0.34602796476305153,35019961600,1.45,39
"(35.07003126426881, -104.22433731353526, 2)","(35.0700978, -104.2201204, 2)",35019961600,0.3847617275191088,35019961600,1.45,287
"(35.0700978, -104.2201204, 2)","(35.0691389, -104.2111987, 2)",35019961600,0.8213767356300227,35019961600,1.45,39
"(35.0691389, -104.2111987, 2)","(35.0691389, -104.2111987, 2)",35019961600,0.0,35019961600,1.45,287
"(35.0691389, -104.2111987, 2)","(35.068541, -104.2067843, 2)",35019961600,0.40807207044935473,35019961600,1.45,39
"(35.068541, -104.2067843, 2)","(35.0662369, -104.1849495, 2)",35019961600,2.0101241434182695,35019961600,1.45,287
"(35.0662369, -104.1849495, 2)","(35.06631389803094, -104.18327571828412, 2)",35019961600,0.15291200551209877,35019961600,1.45,39
"(35.06631389803094, -104.18327571828412, 2)","(35.0690217, -104.168627, 2)",35019961600,1.3746588122095835,35019961600,1.45,287
"(35.0690217, -104.168627, 2)","(35.0723407, -104.1553439, 2)",35019961600,1.2664727255536006,35019961600,1.45,39
"(35.0723407, -104.1553439, 2)","(35.0745134, -104.1464343, 2)",35019961600,0.8476106049713745,35019961600,1.45,339
"(35.0745134, -104.1464343, 2)","(35.0804624, -104.1221499, 2)",35019961600,2.311282375757137,35037958900,,287
"(35.0804624, -104.1221499, 2)","(35.1258649, -103.9461526, 2)",35037958900,16.873059482189706,35037958900,1.0,339
"(35.1258649, -103.9461526, 2)","(35.12473433086771, -103.93441364115694, 2)",35037958900,1.0780701047148034,35037958900,1.0,340
"(35.12473433086771, -103.93441364115694, 2)","(35.1161696, -103.8735906, 2)",35037958900,5.626021425849017,35037958900,1.0,341
"(35.1161696, -103.8735906, 2)","(35.1195403, -103.8632851, 2)",35037958900,1.0383198522482844,35037958900,1.0,309
"(35.1195403, -103.8632851, 2)","(35.12401314073194, -103.85501014206274, 2)",35037958900,0.9030187174389286,35037958900,1.0,98
"(35.12401314073194, -103.85501014206274, 2)","(35.13134375423407, -103.84147173111324, 2)",35037958900,1.4781435727832744,35037958900,1.0,341
"(35.13134375423407, -103.84147173111324, 2)","(35.148009, -103.7903727, 2)",35037958900,5.07449558254146,35037958900,1.0,306
"(35.148009, -103.7903727, 2)","(35.148009, -103.7903727, 2)",35037958900,0.0,35037958900,1.0,309
"(35.148009, -103.7903727, 2)","(35.149495, -103.7804574, 2)",35037958900,0.918460951549416,35037958900,1.0,341
"(35.149495, -103.7804574, 2)","(35.1514878, -103.7397778, 2)",35037958900,4.00171747108825,35037958601,,306
