start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(np.float64(35.3213656), np.float64(-89.569214), np.float64(69.0152620882237))","(np.float64(35.3323252), np.float64(-89.5535915), np.float64(70.8879141376969))",47047060300,2.0854307110300967,47047060300,,8,58
"(np.float64(35.3323252), np.float64(-89.5535915), np.float64(70.8879141376969))","(np.float64(35.3429433), np.float64(-89.5310191), np.float64(65.9436758782441))",47047060300,2.642742547506841,47047060300,,8,145
"(np.float64(35.3429433), np.float64(-89.5310191), np.float64(65.9436758782441))","(np.float64(35.3464006), np.float64(-89.5235333), np.float64(65.6622991068229))",47047060300,0.7812875867798335,47047060300,,8,231
"(np.float64(35.3464006), np.float64(-89.5235333), np.float64(65.6622991068229))","(np.float64(35.3732227), np.float64(-89.4645696), np.float64(73.8973933997452))",47047060300,7.261864129405402,47047060300,,8,145
"(np.float64(35.3732227), np.float64(-89.4645696), np.float64(73.8973933997452))","(np.float64(35.386015), np.float64(-89.4234115), np.float64(73.9128980449712))",47047060300,4.62175270354012,47047060300,,8,27
"(np.float64(35.386015), np.float64(-89.4234115), np.float64(73.9128980449712))","(np.float64(35.3894665), np.float64(-89.4163652), np.float64(72.1929464436155))",47047060300,0.7460614644446715,47047060300,,8,428
"(np.float64(36.15180079567294), np.float64(-86.62569148627752), np.float64(153.4898539875191))","(np.float64(36.1569413), np.float64(-86.625859), np.float64(132.300261310405))",47037015624,1.001671580654148,47037015624,,2,357
"(np.float64(36.1569413), np.float64(-86.625859), np.float64(132.300261310405))","(np.float64(36.158523), np.float64(-86.6243854), np.float64(124.156223164379))",47037015624,0.26805997527190073,47037015624,,2,56
"(np.float64(36.158523), np.float64(-86.6243854), np.float64(124.156223164379))","(np.float64(36.1602688), np.float64(-86.6217916), np.float64(116.196973616492))",47037015624,0.30342460606068855,47037015624,,2,367
"(np.float64(36.16521772594278), np.float64(-86.61384831228868), np.float64(137.72155695799265))","(np.float64(36.1686329), np.float64(-86.6078245), np.float64(137.276033781022))",47037015632,0.825291781171089,47037015632,,2,311
"(np.float64(36.1686329), np.float64(-86.6078245), np.float64(137.276033781022))","(np.float64(36.1697419), np.float64(-86.6038392), np.float64(132.173232956232))",47037015632,0.37913136705304185,47037015632,,2,497
"(np.float64(36.1697419), np.float64(-86.6038392), np.float64(132.173232956232))","(np.float64(36.1701281), np.float64(-86.5957244), np.float64(130.299529844933))",47037015632,0.8183166871350321,47037015632,,2,96
"(np.float64(36.1701281), np.float64(-86.5957244), np.float64(130.299529844933))","(np.float64(36.1697579), np.float64(-86.5909819), np.float64(130.902709960938))",47037015632,0.42866398558051017,47037015632,,2,497
"(np.float64(36.1697579), np.float64(-86.5909819), np.float64(130.902709960938))","(np.float64(36.1696521), np.float64(-86.5868216), np.float64(141.462053897347))",47037015632,0.3746435564794403,47037015632,,2,96
"(np.float64(36.1686706), np.float64(-86.5644341), np.float64(156.985936064674))","(np.float64(36.1680021), np.float64(-86.5509885), np.float64(161.511901440029))",47189030906,1.2125653805873178,47189030906,,9,163
"(np.float64(36.1680021), np.float64(-86.5509885), np.float64(161.511901440029))","(np.float64(36.16795081833423), np.float64(-86.55029773893528), np.float64(162.0986515621842))",47189030906,0.06241351357789046,47189030906,,9,325
"(np.float64(36.16795081833423), np.float64(-86.55029773893528), np.float64(162.0986515621842))","(np.float64(36.1676744), np.float64(-86.5465744), np.float64(165.26135091902))",47189030906,0.46124901855393696,47189030906,,9,240
"(np.float64(36.1676744), np.float64(-86.5465744), np.float64(165.26135091902))","(np.float64(36.1674702), np.float64(-86.5418333), np.float64(168.490918608001))",47189030906,0.42719360459756067,47189030906,,9,163
"(np.float64(36.1674702), np.float64(-86.5418333), np.float64(168.490918608001))","(np.float64(36.16721694336974), np.float64(-86.53808042636506), np.float64(170.89603945896488))",47189030906,0.3388415330698936,47189030906,,9,240
"(np.float64(36.16721694336974), np.float64(-86.53808042636506), np.float64(170.89603945896488))","(np.float64(36.1671452), np.float64(-86.5370173), np.float64(171.577369990319))",47189030906,0.23538471897005858,47189030906,,9,314
"(np.float64(36.1671452), np.float64(-86.5370173), np.float64(171.577369990319))","(np.float64(36.1672299), np.float64(-86.5326084), np.float64(162.640681582267))",47189030906,0.43784909020054846,47189030906,,9,28
"(np.float64(36.1672299), np.float64(-86.5326084), np.float64(162.640681582267))","(np.float64(36.1677551), np.float64(-86.528302), np.float64(161.024002133508))",47189030906,0.391829673256491,47189030906,,9,264
"(np.float64(36.1677551), np.float64(-86.528302), np.float64(161.024002133508))","(np.float64(36.1687536), np.float64(-86.5240511), np.float64(158.635311961302))",47189030906,0.3982031570123886,47189030906,,9,206
"(np.float64(36.1687536), np.float64(-86.5240511), np.float64(158.635311961302))","(np.float64(36.1698421), np.float64(-86.5199214), np.float64(164.585639311453))",47189030906,0.7166128671994497,47189030906,,9,292
"(np.float64(36.1698421), np.float64(-86.5199214), np.float64(164.585639311453))","(np.float64(36.1708625), np.float64(-86.5154725), np.float64(165.974445836201))",47189030906,0.4159841861736149,47189030906,,9,298
"(np.float64(36.1708625), np.float64(-86.5154725), np.float64(165.974445836201))","(np.float64(36.1708625), np.float64(-86.5154725), np.float64(165.974445836201))",47189030906,0.0,47189030906,,9,28
"(np.float64(36.1708625), np.float64(-86.5154725), np.float64(165.974445836201))","(np.float64(36.17123473624289), np.float64(-86.51348536148008), np.float64(170.0401147676649))",47189030906,0.18353918732477115,47189030906,,9,292
"(np.float64(36.1716551), np.float64(-86.5112413), np.float64(174.631445944813))","(np.float64(36.17469284418165), np.float64(-86.48457613916746), np.float64(169.56766716501312))",47189030908,2.928756220627274,47189030908,,9,21
"(np.float64(36.17469284418165), np.float64(-86.48457613916746), np.float64(169.56766716501312))","(np.float64(36.1760949), np.float64(-86.473393), np.float64(169.832984444244))",47189030908,1.0182621829534473,47189030908,,9,148
"(np.float64(36.1760949), np.float64(-86.473393), np.float64(169.832984444244))","(np.float64(36.1778594), np.float64(-86.4606207), np.float64(159.543076405573))",47189030908,1.1657376369009647,47189030908,,9,110
"(np.float64(36.1783866), np.float64(-86.456216), np.float64(155.087059722911))","(np.float64(36.1796474), np.float64(-86.4468445), np.float64(155.875259705778))",47189030907,0.8546888179962046,47189030907,,9,147
"(np.float64(36.1796474), np.float64(-86.4468445), np.float64(155.875259705778))","(np.float64(36.18066385260304), np.float64(-86.43976709197398), np.float64(151.68344001037622))",47189030907,0.7573984311689863,47189030907,,9,209
"(np.float64(36.18066385260304), np.float64(-86.43976709197398), np.float64(151.68344001037622))","(np.float64(36.1817421), np.float64(-86.4319318), np.float64(149.022664998157))",47189030907,0.7150135542714611,47189030907,,9,147
"(np.float64(36.1817421), np.float64(-86.4319318), np.float64(149.022664998157))","(np.float64(36.1848028), np.float64(-86.3969369), np.float64(157.609218175833))",47189030907,3.933974248138327,47189030907,,9,209
"(np.float64(36.1848028), np.float64(-86.3969369), np.float64(157.609218175833))","(np.float64(36.1842058), np.float64(-86.3703084), np.float64(184.202789792815))",47189030907,3.2617852116005417,47189030907,,9,25
"(np.float64(36.1828431), np.float64(-86.3198684), np.float64(151.499240069928))","(np.float64(36.1828431), np.float64(-86.3198684), np.float64(151.499240069928))",47189030800,0.0,47189030800,,9,321
"(np.float64(36.1828431), np.float64(-86.3198684), np.float64(151.499240069928))","(np.float64(36.18278294), np.float64(-86.318032486), np.float64(149.44704998394604))",47189030800,0.1653013782762713,47189030800,,9,279
"(np.float64(36.18278294), np.float64(-86.318032486), np.float64(149.44704998394604))","(np.float64(36.1827151), np.float64(-86.3159622), np.float64(147.13287818486))",47189030800,0.18640376952212923,47189030800,,9,268
"(np.float64(36.1827151), np.float64(-86.3159622), np.float64(147.13287818486))","(np.float64(36.1824679), np.float64(-86.3076819), np.float64(148.946553752888))",47189030800,0.7459141259361313,47189030800,,9,149
