,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance
70096,267.92,1.0,-96.29520900473683,32.97950480473684,168.5941314697266,139.57176002186645,1724424785123,5.0,-90,-12,-59,3.0,3f,
70098,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424786125,5.0,-90,-12,-59,3.0,3f,
70100,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424787125,5.0,-88,-12,-59,3.0,3f,
70102,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424788126,5.0,-88,-12,-59,3.0,3f,
70104,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424789131,4.0,-88,-12,-57,3.0,3f,
70106,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424790132,4.0,-88,-12,-57,3.0,3f,
70108,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424791133,5.0,-88,-11,-57,3.0,3f,
70110,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424792140,5.0,-88,-11,-57,3.0,3f,
70112,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424793143,5.0,-88,-12,-57,3.0,3f,
70114,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.57166212509,1724424794144,5.0,-88,-12,-57,3.0,3f,
70116,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.4705724898437,1724424795145,5.0,-88,-13,-57,3.0,3f,
70118,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.36846174717064,1724424796145,5.0,-88,-13,-57,3.0,3f,
70120,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424797148,5.0,-89,-11,-61,3.0,3f,
70122,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424798149,5.0,-89,-11,-61,3.0,3f,
70124,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424799150,4.0,-90,-13,-57,3.0,3f,
70126,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424800152,4.0,-90,-13,-57,3.0,3f,
70128,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424801161,4.0,-88,-13,-55,3.0,3f,
70130,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424802164,4.0,-88,-13,-55,3.0,3f,
70132,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424803165,5.0,-89,-12,-59,3.0,3f,
70133,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424803165,4.0,-89,-12,-59,3.0,3f,
70134,267.92,1.0,-96.295209,32.9795048,168.5941314697266,139.358046451418,1724424804168,5.0,-89,-12,-59,3.0,3f,
70136,267.92,1.0,-96.29520895278972,32.9795049416309,168.5940551757812,139.4169607664432,1724424805171,5.0,-89,-13,-57,3.0,3f,
70138,267.92,1.0,-96.29520890505484,32.97950508483547,168.5939636230469,139.47652968496868,1724424806172,5.0,-89,-13,-57,3.0,3f,
70140,267.92,1.0,-96.2952089,32.9795051,168.5939483642578,139.482837682335,1724424807175,5.0,-89,-12,-55,3.0,3f,
70142,267.92,1.0,-96.2952089,32.9795051,168.5939483642578,139.482837682335,1724424808176,5.0,-89,-12,-55,3.0,3f,
70144,267.92,1.0,-96.2952089,32.9795051,168.5939483642578,139.482837682335,1724424809177,5.0,-89,-12,-57,3.0,3f,
70146,267.92,1.0,-96.2952089,32.97950519831516,168.5939178466797,139.482837682335,1724424810181,5.0,-89,-12,-57,3.0,3f,
70148,267.92,1.0,-96.2952089,32.9795052,168.5939178466797,139.482837682335,1724424811184,4.0,-90,-12,-59,3.0,3f,
70150,267.92,1.0,-96.2952089,32.9795052,168.5939178466797,139.482837682335,1724424812184,4.0,-90,-12,-59,3.0,3f,
70152,267.92,1.0,-96.2952089,32.9795052,168.5939178466797,139.482837682335,1724424813187,5.0,-89,-12,-59,3.0,3f,
70154,267.92,1.0,-96.2952089,32.9795052,168.5939178466797,139.482837682335,1724424814189,5.0,-89,-12,-59,3.0,3f,
70156,267.92,1.0,-96.2952089,32.9795052,168.5939178466797,139.482837682335,1724424815189,5.0,-89,-11,-59,3.0,3f,
70158,267.92,1.0,-96.29520885291608,32.979505105832146,168.5939331054688,139.57526061278256,1724424816195,5.0,-89,-11,-59,3.0,3f,
70160,267.92,1.0,-96.29520880554765,32.979505011095306,168.5939483642578,139.66824198993976,1724424817194,6.0,-89,-13,-57,3.0,3f,
70162,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424818201,6.0,-89,-13,-57,3.0,3f,
70164,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424819205,4.0,-89,-11,-59,3.0,3f,
70166,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424820213,4.0,-89,-11,-59,3.0,3f,
70168,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424821213,4.0,-89,-12,-61,3.0,3f,
70170,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424822223,4.0,-89,-12,-61,3.0,3f,
70172,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424823221,4.0,-88,-11,-57,3.0,3f,
70174,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424824222,4.0,-88,-11,-57,3.0,3f,
70176,267.92,1.0,-96.2952088,32.979505,168.5939483642578,139.679131700778,1724424825225,4.0,-89,-12,-59,3.0,3f,
70178,267.92,1.0,-96.2952088,32.97950509456626,168.5939178466797,139.7172620819216,1724424826228,4.0,-89,-12,-59,3.0,3f,
70180,267.92,1.0,-96.2952088,32.979505189895136,168.5938720703125,139.75569996613896,1724424827228,4.0,-89,-12,-59,3.0,3f,
70182,267.92,1.0,-96.2952088,32.9795052,168.5938568115234,139.759774381866,1724424828231,4.0,-89,-12,-59,3.0,3f,
70184,267.92,1.0,-96.2952088,32.9795052,168.5938568115234,139.759774381866,1724424829232,5.0,-89,-12,-57,3.0,3f,
70186,267.92,1.0,-96.2952088,32.9795052,168.5938568115234,139.759774381866,1724424830233,5.0,-89,-12,-57,3.0,3f,
70188,267.92,1.0,-96.2952088,32.9795052,168.5938568115234,139.759774381866,1724424831239,4.0,-89,-13,-57,3.0,3f,
70190,267.92,1.0,-96.2952088,32.97950529890329,168.5938262939453,139.759774381866,1724424832242,4.0,-89,-13,-57,3.0,3f,
70192,267.92,1.0,-96.2952088,32.9795053,168.5938262939453,139.759774381866,1724424833243,4.0,-89,-13,-57,3.0,3f,
70194,267.92,1.0,-96.2952088,32.9795053,168.5938262939453,139.759774381866,1724424834243,5.0,-89,-14,-57,3.0,3f,
70196,267.92,1.0,-96.2952088,32.9795053,168.5938262939453,139.759774381866,1724424835246,5.0,-89,-14,-57,3.0,3f,
70198,267.92,1.0,-96.2952088,32.9795053,168.5938262939453,139.759774381866,1724424836246,5.0,-88,-12,-59,3.0,3f,
70200,267.92,1.0,-96.29520875266412,32.9795053,168.5937957763672,139.79026267076802,1724424837253,5.0,-88,-12,-59,3.0,3f,
70202,267.92,1.0,-96.29520870513797,32.9795053,168.5937805175781,139.82087352565554,1724424838252,5.0,-89,-12,-59,3.0,3f,
70204,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424839259,5.0,-89,-12,-59,3.0,3f,
70206,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424840260,4.0,-88,-13,-57,3.0,3f,
70208,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424841261,4.0,-88,-13,-57,3.0,3f,
70210,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424842262,5.0,-88,-10,-59,3.0,3f,
70212,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424843264,5.0,-88,-10,-59,3.0,3f,
70214,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424844266,5.0,-88,-10,-59,3.0,3f,
70216,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424845266,6.0,-89,-11,-59,3.0,3f,
70218,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424846274,6.0,-89,-11,-59,3.0,3f,
70220,267.92,1.0,-96.2952087,32.9795053,168.5937805175781,139.824182807265,1724424847277,5.0,-90,-12,-59,3.0,3f,
70222,267.92,1.0,-96.29520874725536,32.97950548902148,168.5937042236328,139.79479475572344,1724424848280,5.0,-90,-12,-59,3.0,3f,
70224,267.92,1.0,-96.29520879508352,32.97950568033413,168.5936431884766,139.76505048537533,1724424849282,5.0,-90,-13,-59,3.0,3f,
70226,267.92,1.0,-96.2952088,32.9795057,168.5936431884766,139.761992940619,1724424850287,5.0,-90,-13,-59,3.0,3f,
70228,267.92,1.0,-96.2952088,32.9795057,168.5936431884766,139.761992940619,1724424851286,5.0,-89,-12,-57,3.0,3f,
70230,267.92,1.0,-96.2952088,32.9795057,168.5936431884766,139.761992940619,1724424852288,5.0,-89,-12,-57,3.0,3f,
70232,267.92,1.0,-96.2952088,32.9795057,168.5936431884766,139.761992940619,1724424853296,5.0,-89,-13,-57,3.0,3f,
70234,267.92,1.0,-96.2952088,32.97950579879639,168.5935974121094,139.761992940619,1724424854296,5.0,-89,-13,-57,3.0,3f,
70236,267.92,1.0,-96.2952088,32.9795058,168.5935974121094,139.761992940619,1724424855296,6.0,-89,-12,-61,3.0,3f,
70238,267.92,1.0,-96.2952088,32.9795058,168.5935974121094,139.761992940619,1724424856303,6.0,-89,-12,-61,3.0,3f,
70240,267.92,1.0,-96.2952088,32.9795058,168.5935974121094,139.761992940619,1724424857301,5.0,-89,-12,-57,3.0,3f,
70242,267.92,1.0,-96.2952088,32.9795058,168.5935974121094,139.761992940619,1724424858302,5.0,-89,-12,-57,3.0,3f,
70244,267.92,1.0,-96.2952088948926,32.9795059897852,168.5935516357422,139.77022291799028,1724424859309,6.0,-89,-12,-59,3.0,3f,
70246,267.92,1.0,-96.29520899045346,32.979506180906924,168.5935211181641,139.7785108529487,1724424860310,6.0,-89,-12,-59,3.0,3f,
70248,267.92,1.0,-96.295209,32.9795062,168.593505859375,139.779338818479,1724424861314,6.0,-90,-13,-59,3.0,3f,
70250,267.92,1.0,-96.295209,32.9795062,168.593505859375,139.779338818479,1724424862316,6.0,-90,-13,-59,3.0,3f,
70252,267.92,1.0,-96.295209,32.9795062,168.593505859375,139.779338818479,1724424863314,5.0,-89,-13,-59,3.0,3f,
70254,267.92,1.0,-96.295209,32.9795062,168.593505859375,139.779338818479,1724424864316,5.0,-89,-13,-59,3.0,3f,
70256,267.92,1.0,-96.295209,32.979506298902194,168.5934600830078,139.779338818479,1724424865321,4.0,-89,-11,-57,3.0,3f,
70258,267.92,1.0,-96.295209,32.9795063,168.5934600830078,139.779338818479,1724424866323,4.0,-89,-11,-57,3.0,3f,
70260,267.92,1.0,-96.295209,32.9795063,168.5934600830078,139.779338818479,1724424867321,4.0,-89,-13,-55,3.0,3f,
70262,267.92,1.0,-96.295209,32.9795063,168.5934600830078,139.779338818479,1724424868328,4.0,-89,-13,-55,3.0,3f,
70264,267.92,1.0,-96.295209,32.9795063,168.5934600830078,139.779338818479,1724424869331,5.0,-89,-13,-59,3.0,3f,
70266,267.92,1.0,-96.29520890551032,32.97950644173454,168.5933532714844,139.81810079702896,1724424870331,5.0,-89,-13,-59,3.0,3f,
70268,267.92,1.0,-96.29520880929564,32.979506586056544,168.5932464599609,139.85757039790536,1724424871335,5.0,-90,-11,-59,3.0,3f,
70270,267.92,1.0,-96.2952088,32.9795066,168.5932312011719,139.861383695998,1724424872336,5.0,-90,-11,-59,3.0,3f,
70272,267.92,1.0,-96.2952088,32.9795066,168.5932312011719,139.861383695998,1724424873339,5.0,-89,-14,-57,3.0,3f,
70274,267.92,1.0,-96.2952088,32.9795066,168.5932312011719,139.861383695998,1724424874344,5.0,-89,-14,-57,3.0,3f,
70276,267.92,1.0,-96.2952088,32.9795066988,168.5932006835938,139.861383695998,1724424875344,4.0,-89,-11,-57,3.0,3f,
70278,267.92,1.0,-96.2952088,32.9795067,168.5931854248047,139.861383695998,1724424876348,4.0,-89,-11,-57,3.0,3f,
70280,267.92,1.0,-96.2952088,32.9795067,168.5931854248047,139.861383695998,1724424877350,5.0,-90,-12,-61,3.0,3f,
70282,267.92,1.0,-96.2952088,32.9795067,168.5931854248047,139.861383695998,1724424878349,5.0,-90,-12,-61,3.0,3f,
70284,267.92,1.0,-96.2952088,32.9795067,168.5931854248047,139.861383695998,1724424879359,4.0,-90,-14,-57,3.0,3f,
70286,267.92,1.0,-96.2952088,32.97950679422985,168.5931549072266,139.9265345950002,1724424880360,4.0,-90,-14,-57,3.0,3f,
70288,267.92,1.0,-96.2952088,32.97950688979494,168.5931091308594,139.99260868487892,1724424881362,5.0,-89,-14,-57,3.0,3f,
70290,267.92,1.0,-96.2952088,32.9795069,168.5931091308594,139.999664500864,1724424882362,5.0,-89,-14,-57,3.0,3f,
70292,267.92,1.0,-96.2952088,32.9795069,168.5931091308594,139.999664500864,1724424883362,5.0,-89,-14,-57,3.0,3f,
70294,267.92,1.0,-96.2952088,32.9795069,168.5931091308594,139.999664500864,1724424884374,6.0,-89,-12,-61,3.0,3f,
70296,267.92,1.0,-96.2952088,32.97950699840796,168.5930633544922,139.999664500864,1724424885375,6.0,-89,-12,-61,3.0,3f,
70298,267.92,1.0,-96.2952088,32.979507,168.5930633544922,139.999664500864,1724424886376,6.0,-90,-12,-57,3.0,3f,
70300,267.92,1.0,-96.2952088,32.979507,168.5930633544922,139.999664500864,1724424887380,6.0,-90,-12,-57,3.0,3f,
70302,267.92,1.0,-96.2952088,32.979507,168.5930633544922,139.999664500864,1724424888382,5.0,-90,-12,-61,3.0,3f,
70304,267.92,1.0,-96.2952088,32.979507,168.5930633544922,139.999664500864,1724424889382,5.0,-90,-12,-61,3.0,3f,
70306,267.92,1.0,-96.2952088,32.979507,168.5930633544922,139.999664500864,1724424890388,5.0,-90,-12,-59,3.0,3f,
70308,267.92,1.0,-96.2952088,32.97950704703349,168.5930328369141,139.9171293310995,1724424891386,5.0,-90,-12,-59,3.0,3f,
70310,267.92,1.0,-96.2952088,32.97950709497608,168.593017578125,139.83299887321135,1724424892388,5.0,-89,-11,-57,3.0,3f,
70312,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424893389,5.0,-89,-11,-57,3.0,3f,
70314,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424894390,5.0,-89,-12,-59,3.0,3f,
70316,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424895392,5.0,-89,-12,-59,3.0,3f,
70318,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424896391,5.0,-90,-13,-57,3.0,3f,
70320,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424897399,5.0,-90,-13,-57,3.0,3f,
70322,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424898400,5.0,-90,-12,-59,3.0,3f,
70324,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424899407,5.0,-90,-12,-59,3.0,3f,
70326,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424900405,5.0,-90,-12,-59,3.0,3f,
70328,267.92,1.0,-96.2952088,32.9795071,168.593017578125,139.824182807265,1724424901415,5.0,-90,-12,-59,3.0,3f,
70330,267.92,1.0,-96.2952088,32.979507241630905,168.5929565429688,140.02021259537233,1724424902418,5.0,-90,-12,-59,3.0,3f,
70332,267.92,1.0,-96.2952088,32.97950738469242,168.5928802490234,140.21822248234943,1724424903418,5.0,-90,-12,-59,3.0,3f,
70334,267.92,1.0,-96.2952088,32.9795074,168.5928802490234,140.239409540256,1724424904418,5.0,-90,-12,-61,3.0,3f,
70336,267.92,1.0,-96.2952088,32.9795074,168.5928802490234,140.239409540256,1724424905423,5.0,-90,-12,-61,3.0,3f,
70338,267.92,1.0,-96.2952088,32.9795074,168.5928802490234,140.239409540256,1724424906423,5.0,-90,-12,-61,3.0,3f,
70340,267.92,1.0,-96.2952088,32.97950749860139,168.5928344726562,140.239409540256,1724424907424,5.0,-90,-12,-61,3.0,3f,
70342,267.92,1.0,-96.2952088,32.9795075,168.5928344726562,140.239409540256,1724424908432,5.0,-91,-12,-61,3.0,3f,
70344,267.92,1.0,-96.2952088,32.9795075,168.5928344726562,140.239409540256,1724424909431,5.0,-91,-12,-61,3.0,3f,
70346,267.92,1.0,-96.2952088,32.9795075,168.5928344726562,140.239409540256,1724424910433,5.0,-90,-13,-59,3.0,3f,
70348,267.92,1.0,-96.2952088,32.9795075,168.5928344726562,140.239409540256,1724424911435,5.0,-90,-13,-59,3.0,3f,
70350,267.92,1.0,-96.29520884725012,32.979507547250115,168.5928344726562,140.1922882131015,1724424912434,5.0,-90,-12,-63,3.0,3f,
70352,267.92,1.0,-96.29520889516978,32.97950759516977,168.5928344726562,140.14449917483356,1724424913436,5.0,-90,-12,-63,3.0,3f,
70354,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424914441,5.0,-90,-12,-63,3.0,3f,
70356,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424915445,4.0,-90,-12,-61,3.0,3f,
70358,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424916444,4.0,-90,-12,-61,3.0,3f,
70360,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424917448,4.0,-90,-13,-61,3.0,3f,
70362,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424918448,4.0,-90,-13,-61,3.0,3f,
70364,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424919451,5.0,-90,-13,-59,3.0,3f,
70366,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424920456,5.0,-90,-13,-59,3.0,3f,
70368,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424921455,5.0,-90,-13,-57,3.0,3f,
70370,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.139682116086,1724424922465,5.0,-90,-13,-57,3.0,3f,
70372,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.11177741949913,1724424923462,5.0,-90,-12,-59,3.0,3f,
70374,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.083534142165,1724424924463,5.0,-90,-12,-59,3.0,3f,
70376,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424925466,5.0,-90,-12,-59,3.0,3f,
70378,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424926465,5.0,-90,-13,-59,3.0,3f,
70380,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424927466,5.0,-90,-13,-59,3.0,3f,
70382,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424928479,6.0,-90,-12,-63,3.0,3f,
70384,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424929479,6.0,-90,-12,-63,3.0,3f,
70386,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424930481,6.0,-90,-13,-57,3.0,3f,
70388,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424931483,6.0,-90,-13,-57,3.0,3f,
70390,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424932482,6.0,-90,-13,-59,3.0,3f,
70392,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424933485,6.0,-90,-13,-59,3.0,3f,
70394,267.92,1.0,-96.2952089,32.9795076,168.5928344726562,140.080627990751,1724424934491,4.0,-90,-13,-59,3.0,3f,
70396,267.92,1.0,-96.29520894737344,32.9795076,168.5928649902344,140.06105366970553,1724424935493,4.0,-90,-13,-59,3.0,3f,
70398,267.92,1.0,-96.29520899503343,32.9795076,168.5928802490234,140.04136095558923,1724424936491,4.0,-90,-13,-59,3.0,3f,
70400,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424937493,4.0,-90,-13,-59,3.0,3f,
70402,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424938496,4.0,-90,-13,-59,3.0,3f,
70404,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424939502,5.0,-90,-12,-59,3.0,3f,
70406,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424940504,5.0,-90,-12,-59,3.0,3f,
70408,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424941503,5.0,-90,-13,-57,3.0,3f,
70410,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424942511,5.0,-90,-13,-57,3.0,3f,
70412,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424943511,4.0,-90,-12,-59,3.0,3f,
70414,267.92,1.0,-96.295209,32.9795076,168.5928802490234,140.039308809028,1724424944514,4.0,-90,-12,-59,3.0,3f,
70416,267.92,1.0,-96.2952091424388,32.9795076949592,168.5929107666016,140.0410150431661,1724424945517,4.0,-90,-11,-61,3.0,3f,
70418,267.92,1.0,-96.2952092863178,32.97950779087854,168.5929412841797,140.0427385294189,1724424946516,4.0,-90,-11,-61,3.0,3f,
70420,267.92,1.0,-96.2952093,32.9795078,168.5929412841797,140.042902424508,1724424947517,5.0,-89,-12,-57,3.0,3f,
70422,267.92,1.0,-96.2952093,32.9795078,168.5929412841797,140.042902424508,1724424948519,5.0,-89,-12,-57,3.0,3f,
70424,267.92,1.0,-96.2952093,32.9795078,168.5929412841797,140.042902424508,1724424949522,4.0,-90,-12,-61,3.0,3f,
70426,267.92,1.0,-96.2952093989,32.9795078,168.5930023193359,140.042902424508,1724424950525,4.0,-90,-12,-61,3.0,3f,
70428,267.92,1.0,-96.2952094,32.9795078,168.5930023193359,140.042902424508,1724424951524,5.0,-90,-13,-57,3.0,3f,
70430,267.92,1.0,-96.2952094,32.9795078,168.5930023193359,140.042902424508,1724424952527,5.0,-90,-13,-57,3.0,3f,
70432,267.92,1.0,-96.2952094,32.9795078,168.5930023193359,140.042902424508,1724424953531,5.0,-90,-13,-59,3.0,3f,
70434,267.92,1.0,-96.2952094,32.9795078,168.5930023193359,140.042902424508,1724424954533,5.0,-90,-13,-59,3.0,3f,
70436,267.92,1.0,-96.29520944707856,32.97950789415709,168.5929718017578,140.00228374015182,1724424955530,4.0,-89,-13,-57,3.0,3f,
70438,267.92,1.0,-96.29520949511496,32.97950799022989,168.5929565429688,139.96083863291966,1724424956533,4.0,-89,-13,-57,3.0,3f,
70440,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424957536,5.0,-90,-13,-59,3.0,3f,
70442,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424958538,5.0,-90,-13,-59,3.0,3f,
70444,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424959545,4.0,-90,-12,-61,3.0,3f,
70446,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424960546,4.0,-90,-12,-61,3.0,3f,
70448,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424961546,5.0,-90,-12,-61,3.0,3f,
70450,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424962551,5.0,-90,-12,-61,3.0,3f,
70452,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424963549,5.0,-89,-12,-61,3.0,3f,
70454,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424964550,5.0,-89,-12,-61,3.0,3f,
70456,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.956623876252,1724424965555,5.0,-90,-12,-59,3.0,3f,
70458,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.87952411526234,1724424966556,5.0,-90,-12,-59,3.0,3f,
70460,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.80148791992872,1724424967556,5.0,-90,-12,-61,3.0,3f,
70462,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424968565,5.0,-90,-12,-61,3.0,3f,
70464,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424969564,5.0,-90,-13,-59,3.0,3f,
70466,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424970565,5.0,-90,-13,-59,3.0,3f,
70468,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424971566,5.0,-90,-13,-59,3.0,3f,
70470,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424972581,5.0,-90,-13,-59,3.0,3f,
70472,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424973582,5.0,-90,-13,-59,3.0,3f,
70474,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424974585,6.0,-90,-11,-63,3.0,3f,
70476,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424975585,6.0,-90,-11,-63,3.0,3f,
70478,267.92,1.0,-96.2952095,32.979508,168.5929565429688,139.793372155614,1724424976584,6.0,-90,-11,-63,3.0,3f,
70480,267.92,1.0,-96.29520959483747,32.979508,168.5930023193359,139.88523602719332,1724424977586,5.0,-89,-13,-57,3.0,3f,
70482,267.92,1.0,-96.29520969072658,32.979508,168.5930480957031,139.97811855057444,1724424978589,5.0,-89,-13,-57,3.0,3f,
70484,267.92,1.0,-96.2952097,32.979508,168.5930633544922,139.987101207372,1724424979594,5.0,-91,-12,-63,3.0,3f,
70486,267.92,1.0,-96.2952097,32.979508,168.5930633544922,139.987101207372,1724424980593,5.0,-91,-12,-63,3.0,3f,
70488,267.92,1.0,-96.2952097,32.979508,168.5930633544922,139.987101207372,1724424981592,5.0,-90,-12,-59,3.0,3f,
70490,267.92,1.0,-96.2952097,32.979508,168.5930633544922,139.987101207372,1724424982600,5.0,-90,-12,-59,3.0,3f,
70492,267.92,1.0,-96.295209798999,32.979508,168.5931091308594,139.987101207372,1724424983601,5.0,-89,-12,-63,3.0,3f,
70494,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.987101207372,1724424984601,5.0,-89,-12,-63,3.0,3f,
70496,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.987101207372,1724424985602,4.0,-91,-12,-59,3.0,3f,
70498,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.987101207372,1724424986606,4.0,-91,-12,-59,3.0,3f,
70500,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.987101207372,1724424987606,5.0,-91,-14,-57,3.0,3f,
70502,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.987101207372,1724424988613,5.0,-91,-14,-57,3.0,3f,
70504,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.8600936943168,1724424989611,4.0,-91,-12,-59,3.0,3f,
70506,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.73128647965956,1724424990613,4.0,-91,-12,-59,3.0,3f,
70508,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.719716969361,1724424991621,4.0,-90,-12,-57,3.0,3f,
70510,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.719716969361,1724424992622,4.0,-90,-12,-57,3.0,3f,
70512,267.92,1.0,-96.2952098,32.979508,168.5931091308594,139.719716969361,1724424993622,5.0,-90,-13,-57,3.0,3f,
