start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,associated_pci
"(32.91036415807985, -96.93715485114068, 2)","(32.9096403, -96.9341137, 2)",48113014138,0.29560340018146236,48113014138,3988.16,261
"(32.9096403, -96.9341137, 2)","(32.9086627717742, -96.92983925740036, 2)",48113014138,0.41433135655039116,48113009900,,442
"(32.9086627717742, -96.92983925740036, 2)","(32.907326, -96.921686, 2)",48113009900,0.780028921599519,48113009900,703.59,150
"(32.907326, -96.921686, 2)","(32.9074552, -96.910953, 2)",48113009900,1.0042312018929238,48113009900,703.59,72
"(32.9074552, -96.910953, 2)","(32.9076872, -96.8991975, 2)",48113009900,1.1002285235919838,48113009900,703.59,491
"(32.9076872, -96.8991975, 2)","(32.9076872, -96.8991975, 2)",48113009900,0.0,48113009900,703.59,176
"(32.9076872, -96.8991975, 2)","(32.9077123, -96.8987759, 2)",48113009900,0.039538971310458276,48113009900,703.59,410
"(32.9077123, -96.8987759, 2)","(32.9077123, -96.8987759, 2)",48113009900,0.0,48113009900,703.59,11
"(32.9077123, -96.8987759, 2)","(32.9076973, -96.8983091, 2)",48113009900,0.04370101149277499,48113009900,703.59,222
"(32.9076973, -96.8983091, 2)","(32.9076973, -96.8983091, 2)",48113009900,0.0,48113009900,703.59,422
"(32.9076973, -96.8983091, 2)","(32.9077257, -96.8978572, 2)",48113009900,0.04239259921638771,48113009900,703.59,338
"(32.9077257, -96.8978572, 2)","(32.9077257, -96.8978572, 2)",48113009900,0.0,48113009900,703.59,222
"(32.9077257, -96.8978572, 2)","(32.907733481381385, -96.89776993033034, 2)",48113009900,0.008209595512951678,48113009900,703.59,4
"(32.907733481381385, -96.89776993033034, 2)","(32.9077336, -96.8977686, 2)",48113009900,0.00012514626835899702,48113009900,703.59,413
"(32.9077336, -96.8977686, 2)","(32.9077444, -96.8972757, 2)",48113009900,0.04612653913391574,48113009900,703.59,422
"(32.9077444, -96.8972757, 2)","(32.90774793552239, -96.89715342985076, 2)",48113009900,0.011445137304087168,48113009900,703.59,369
"(32.90774793552239, -96.89715342985076, 2)","(32.9083382, -96.8935759, 2)",48113009900,0.3415144167397851,48113009900,703.59,410
"(32.9083382, -96.8935759, 2)","(32.9083382, -96.8935759, 2)",48113009900,0.0,48113009900,703.59,222
"(32.9083382, -96.8935759, 2)","(32.908542404469806, -96.89250160280552, 2)",48113009900,0.1030201709064282,48113009900,703.59,11
"(32.908542404469806, -96.89250160280552, 2)","(32.9089029, -96.8904428, 2)",48113009900,0.19670631192073898,48113009605,,401
"(32.9089029, -96.8904428, 2)","(32.9095048, -96.8878466, 2)",48113009605,0.2518778701250082,48113009605,6174.62,156
"(32.9095048, -96.8878466, 2)","(32.909874, -96.8859114, 2)",48113009605,0.1856073766421251,48113009605,6174.62,220
"(32.909874, -96.8859114, 2)","(32.910636876136365, -96.88239378674244, 2)",48113009605,0.3398946362529589,48113009605,6174.62,161
"(32.910636876136365, -96.88239378674244, 2)","(32.9108505, -96.8815477, 2)",48113009605,0.08261877858756964,48113009605,6174.62,426
"(32.9108505, -96.8815477, 2)","(32.9128796, -96.8726536, 2)",48113009605,0.8653138855093245,48113009605,6174.62,227
"(32.9128796, -96.8726536, 2)","(32.9144258, -96.8669585, 2)",48113009605,0.560427960161067,48113009605,6174.62,67
"(32.9144258, -96.8669585, 2)","(32.915278312582785, -96.86402020397352, 2)",48113009605,0.2912655190116614,48113009605,6174.62,152
"(32.915278312582785, -96.86402020397352, 2)","(32.9164996, -96.8595542, 2)",48113009605,0.4396683165828635,48113009605,6174.62,367
"(32.9164996, -96.8595542, 2)","(32.9175416, -96.8569054, 2)",48113009605,0.27383369502331006,48113009605,6174.62,287
"(32.9175416, -96.8569054, 2)","(32.9175416, -96.8569054, 2)",48113009605,0.0,48113009605,6174.62,418
"(32.9175416, -96.8569054, 2)","(32.9187002739687, -96.85378801716452, 2)",48113009605,0.3186649970961715,48113009608,,69
"(32.9187002739687, -96.85378801716452, 2)","(32.9187322, -96.8537002, 2)",48113009608,0.008944914740961069,48113009608,3329.39,418
"(32.9187322, -96.8537002, 2)","(32.9229653, -96.8435319, 2)",48113009608,1.0634111436661335,48113009608,3329.39,71
"(32.9229653, -96.8435319, 2)","(32.92341804851958, -96.84270900854824, 2)",48113009608,0.09189835598356635,48113009608,3329.39,309
"(32.92341804851958, -96.84270900854824, 2)","(32.9249762, -96.838704, 2)",48113009608,0.41402308985192027,48113009608,3329.39,425
"(32.9249762, -96.838704, 2)","(32.925818279277564, -96.83142596806084, 2)",48113009608,0.6912142951298418,48113009603,,489
"(32.925818279277564, -96.83142596806084, 2)","(32.9257935, -96.8268985, 2)",48113009603,0.4241784753792716,48113009603,3702.74,329
"(32.9257935, -96.8268985, 2)","(32.9258312, -96.8257294, 2)",48113009603,0.10942743696548467,48113009603,3702.74,79
"(32.9258312, -96.8257294, 2)","(32.92582556389281, -96.82441778392102, 2)",48113009603,0.1226788274322754,48113009603,3702.74,332
"(32.92582556389281, -96.82441778392102, 2)","(32.9257308, -96.8228901, 2)",48113009603,0.14329197333590105,48113009603,3702.74,280
"(32.9257308, -96.8228901, 2)","(32.9257308, -96.8228901, 2)",48113009603,0.0,48113009603,3702.74,434
"(32.9257308, -96.8228901, 2)","(32.9257308, -96.8228901, 2)",48113009603,0.0,48113009603,3702.74,467
"(32.9257308, -96.8228901, 2)","(32.9257308, -96.8228901, 2)",48113009603,0.0,48113009603,3702.74,280
"(32.9257308, -96.8228901, 2)","(32.9257568, -96.81909, 2)",48113009603,0.35545623769267126,48113009604,,97
"(32.9257568, -96.81909, 2)","(32.925476, -96.8046763, 2)",48113009604,1.3513375870069564,48113009604,4123.63,464
"(32.925476, -96.8046763, 2)","(32.9248257028828, -96.79518756895084, 2)",48113009604,0.8994441065256624,48113013201,,331
"(32.9248257028828, -96.79518756895084, 2)","(32.92480104396593, -96.79359966218648, 2)",48113013201,0.14858263203894162,48113013201,2123.94,254
"(32.92480104396593, -96.79359966218648, 2)","(32.9247991, -96.7935312, 2)",48113013201,0.0064070637098381095,48113013201,2123.94,295
"(32.9247991, -96.7935312, 2)","(32.9247777, -96.7900653, 2)",48113013201,0.3243716397002698,48113013201,2123.94,431
"(32.9247777, -96.7900653, 2)","(32.9248239, -96.7887868, 2)",48113013201,0.11969094378780987,48113013201,2123.94,392
"(32.9248239, -96.7887868, 2)","(32.9244082, -96.7856583, 2)",48113013201,0.2964063961503119,48113013202,,478
"(32.9244082, -96.7856583, 2)","(32.9239547, -96.7795345, 2)",48113013202,0.5764883915922634,48113013202,4409.22,45
"(32.9239547, -96.7795345, 2)","(32.9239547, -96.7795345, 2)",48113013202,0.0,48113013202,4409.22,365
"(32.9239547, -96.7795345, 2)","(32.923906596897375, -96.77886317875894, 2)",48113013202,0.06301714575590882,48113013202,4409.22,399
"(32.923906596897375, -96.77886317875894, 2)","(32.9238585, -96.7750771, 2)",48113013202,0.3544472495523846,48113013202,4409.22,200
"(32.9238585, -96.7750771, 2)","(32.9238464, -96.7738478, 2)",48113013202,0.11498848628477398,48113013202,4409.22,437
"(32.9238464, -96.7738478, 2)","(32.9238423435653, -96.77087065776932, 2)",48113013202,0.2786005086112135,48113013202,4409.22,302
"(32.9238423435653, -96.77087065776932, 2)","(32.9237589, -96.7689192, 2)",48113013202,0.18276295020197916,48113013202,4409.22,277
"(32.9237589, -96.7689192, 2)","(32.9231629, -96.7662414, 2)",48113013202,0.259039898721166,48113013202,4409.22,405
"(32.9231629, -96.7662414, 2)","(32.9209082, -96.7658064, 2)",48113013202,0.2533419081143258,48113013202,4409.22,61
"(32.9209082, -96.7658064, 2)","(32.9209082, -96.7658064, 2)",48113013202,0.0,48113013202,4409.22,72
"(32.9209082, -96.7658064, 2)","(32.9180126, -96.7666085, 2)",48113013202,0.3297788462838395,48113007829,,417
"(32.9180126, -96.7666085, 2)","(32.9180126, -96.7666085, 2)",48113007829,0.0,48113007829,4129.89,88
"(32.9180126, -96.7666085, 2)","(32.9151923, -96.7677359, 2)",48113007829,0.33007969870189685,48113013202,,201
"(32.9151923, -96.7677359, 2)","(32.9126462, -96.7686031, 2)",48113013202,0.29379158030605085,48113013202,4409.22,417
"(32.9126462, -96.7686031, 2)","(32.9099995, -96.7690882, 2)",48113013202,0.2970138826057694,48113013202,4409.22,382
"(32.9099995, -96.7690882, 2)","(32.90774159000474, -96.76910729957366, 2)",48113013202,0.25041507717760914,48113013101,,201
"(32.90774159000474, -96.76910729957366, 2)","(32.9076115, -96.7691084, 2)",48113013101,0.014427719632598387,48113013101,2854.92,370
"(32.9076115, -96.7691084, 2)","(32.9023709, -96.7691226, 2)",48113013101,0.5812062352040818,48113007823,,437
"(32.9023709, -96.7691226, 2)","(32.8965967, -96.7692454, 2)",48113007823,0.640520351929848,48113013106,,304
"(32.8965967, -96.7692454, 2)","(32.8911638, -96.7695224, 2)",48113013106,0.603420693027488,48113013107,,371
"(32.8911638, -96.7695224, 2)","(32.8872749, -96.7700894, 2)",48113013107,0.4346219724280793,48113007822,,411
"(32.8872749, -96.7700894, 2)","(32.8802559, -96.7703284, 2)",48113007822,0.7788406991536653,48113013104,,16
"(32.8802559, -96.7703284, 2)","(32.8802559, -96.7703284, 2)",48113013104,0.0,48113013104,9157.14,444
"(32.8802559, -96.7703284, 2)","(32.8778825753897, -96.77035073849788, 2)",48113013104,0.26321555997871116,48113007801,,16
"(32.8778825753897, -96.77035073849788, 2)","(32.8777273, -96.7703522, 2)",48113007801,0.017220944087504974,48113007801,2668.81,484
"(32.8777273, -96.7703522, 2)","(32.8754878, -96.7704026, 2)",48113007801,0.24841047921278592,48113007801,2668.81,11
"(32.8754878, -96.7704026, 2)","(32.8754878, -96.7704026, 2)",48113007801,0.0,48113007801,2668.81,58
"(32.8754878, -96.7704026, 2)","(32.8754878, -96.7704026, 2)",48113007801,0.0,48113007801,2668.81,309
"(32.8754878, -96.7704026, 2)","(32.87304512198953, -96.77042978913612, 2)",48113007801,0.27097018739790824,48113007801,2668.81,218
"(32.87304512198953, -96.77042978913612, 2)","(32.87158135602094, -96.77050230922777, 2)",48113007801,0.1624767140761963,48113007801,2668.81,257
"(32.87158135602094, -96.77050230922777, 2)","(32.8715331, -96.7705047, 2)",48113007801,0.0053563746219960455,48113007801,2668.81,184
"(32.8715331, -96.7705047, 2)","(32.8663359, -96.7706781, 2)",48113007801,0.5766349586212737,48113007801,2668.81,236
"(32.8663359, -96.7706781, 2)","(32.8663359, -96.7706781, 2)",48113007801,0.0,48113007801,2668.81,73
"(32.8663359, -96.7706781, 2)","(32.8608369, -96.7700905, 2)",48113007801,0.6541412809075717,48113007912,,189
"(32.8608369, -96.7700905, 2)","(32.8608369, -96.7700905, 2)",48113007912,0.0,48113007912,11743.03,257
"(32.8608369, -96.7700905, 2)","(32.86128590881099, -96.76994549976314, 2)",48113007912,0.05161237979423401,48113007912,11743.03,73
"(32.86128590881099, -96.76994549976314, 2)","(32.8617953, -96.769781, 2)",48113007912,0.058553157464502854,48113007912,11743.03,257
"(32.8617953, -96.769781, 2)","(32.8633259, -96.7690184, 2)",48113007912,0.26566215093263806,48113007912,11743.03,73
"(32.8633259, -96.7690184, 2)","(32.86296581793171, -96.76867362618243, 2)",48113007912,0.09068130086909618,48113007912,11743.03,493
"(32.86296581793171, -96.76867362618243, 2)","(32.863023, -96.7687008, 2)",48113007912,0.006838547820494071,48113007912,11743.03,6
"(32.863023, -96.7687008, 2)","(32.8631898, -96.7689845, 2)",48113007912,0.13394844126773192,48113007912,11743.03,493
"(32.8631898, -96.7689845, 2)","(32.8632013, -96.7689929, 2)",48113007912,0.001498237106728903,48113007912,11743.03,81
"(32.8632013, -96.7689929, 2)","(32.8627662, -96.7698183, 2)",48113007912,0.18830079402870947,48113007912,11743.03,493
"(32.8627662, -96.7698183, 2)","(32.8653175, -96.7699437, 2)",48113007912,0.5004920845220543,48113007912,11743.03,81
"(32.8653175, -96.7699437, 2)","(32.8677012, -96.7697101, 2)",48113007912,0.26525994386457485,48113007822,,32
