technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,num_seen_cells,cell_tower_distance
4G_LTE,-101,2147483647,-101,-20,-71,2147483647,39,67086,153,11,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429409879,10091.810880109,2024-08-23 12:10:09.879000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,6.0,
4G_LTE,-85,2147483647,-85,-9,-65,2147483647,55,1025,169,11,2147483647,2147483647,4,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724429409879,10091.810880109,2024-08-23 12:10:09.879000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,6.0,
4G_LTE,-96,2147483647,-96,-20,-67,2147483647,44,1025,350,11,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724429409879,10091.810880109,2024-08-23 12:10:09.879000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,6.0,
4G_LTE,-98,2147483647,-98,-13,-73,2147483647,42,5330,110,11,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724429409879,10091.810880109,2024-08-23 12:10:09.879000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,6.0,
4G_LTE,-93,2147483647,-93,-10,-63,2147483647,47,66486,160,11,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429409879,10091.810880109,2024-08-23 12:10:09.879000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,6.0,
4G_LTE,-86,2147483647,-86,-8,-61,2147483647,54,67086,382,11,134349392,26883,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724429409879,10091.810880109,2024-08-23 12:10:09.879000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,6.0,
4G_LTE,-86,2147483647,-86,-8,-61,2147483647,54,67086,382,11,134349392,26883,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.12318486865968,33.16068099230302,96.37892431740022,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-101,2147483647,-101,-20,-71,2147483647,39,67086,153,11,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-85,2147483647,-85,-9,-65,2147483647,55,1025,169,11,2147483647,2147483647,4,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-93,2147483647,-93,-10,-63,2147483647,47,66486,160,11,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-95,2147483647,-95,-16,-69,2147483647,45,66486,186,11,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-101,2147483647,-101,-16,-75,2147483647,39,5330,150,11,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-93,2147483647,-93,-10,-63,2147483647,47,66486,160,11,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-86,2147483647,-86,-8,-61,2147483647,54,67086,382,11,134349392,26883,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-101,2147483647,-101,-20,-71,2147483647,39,67086,153,11,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-85,2147483647,-85,-9,-65,2147483647,55,1025,169,11,2147483647,2147483647,4,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-96,2147483647,-96,-20,-67,2147483647,44,1025,350,11,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-98,2147483647,-98,-13,-73,2147483647,42,5330,110,11,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-101,2147483647,-101,-16,-75,2147483647,39,5330,150,11,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-96,2147483647,-96,-20,-67,2147483647,44,1025,350,11,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
4G_LTE,-95,2147483647,-95,-16,-69,2147483647,45,66486,186,11,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724429410880,10092.812888285,2024-08-23 12:10:10.880000,-95.1234758,33.1606926,96.1226439039745,484499502002006,TX,48449950200,174744331,484499502002006,16527,48449,Titus County,42.7,7,8.0,
