technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,num_seen_cells,cell_tower_distance
4G_LTE,-114,2147483647,-114,-13,-89,2147483647,26,5090,314,168,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-11,-91,2147483647,26,67086,293,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.77712435331358,35.70916755193578,330.44260630780315,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-115,2147483647,-115,-14,-89,2147483647,25,5090,314,168,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,67086,197,168,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-112,2147483647,-112,-11,-89,2147483647,28,67086,91,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-126,2147483647,-126,-15,-101,2147483647,14,9820,293,168,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-114,2147483647,-114,-15,-85,2147483647,26,775,382,168,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-110,2147483647,-110,-13,-81,2147483647,30,775,293,168,197716156,9891,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724695997645,20991.713977096,2024-08-26 14:13:17.645000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-110,2147483647,-110,-13,-81,2147483647,30,775,293,168,197716156,9891,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-114,2147483647,-114,-15,-85,2147483647,26,775,382,168,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-126,2147483647,-126,-15,-101,2147483647,14,9820,293,168,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-114,2147483647,-114,-11,-91,2147483647,26,67086,293,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-112,2147483647,-112,-11,-89,2147483647,28,67086,91,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,67086,197,168,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-115,2147483647,-115,-14,-89,2147483647,25,5090,314,168,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724695998651,20992.720376419,2024-08-26 14:13:18.651000,-81.77645721715552,35.70950470931105,328.4507613798559,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,5.0,
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,67086,134,168,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,67086,197,168,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-14,-89,2147483647,26,67086,91,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-14,-89,2147483647,26,5090,314,168,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-115,2147483647,-115,-16,-91,2147483647,25,67086,293,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-113,2147483647,-113,-12,-89,2147483647,27,775,382,168,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-15,-87,2147483647,26,775,293,168,197716156,9891,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-127,2147483647,-127,-15,-103,2147483647,13,9820,293,168,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724695999652,20993.721255273,2024-08-26 14:13:19.652000,-81.77510876909959,35.71018618819918,324.4247475169201,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-15,-87,2147483647,26,775,293,168,197716156,9891,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724696000651,20994.720771731,2024-08-26 14:13:20.651000,-81.7738398,35.7108275,320.636031174377,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-113,2147483647,-113,-12,-89,2147483647,27,775,382,168,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724696000651,20994.720771731,2024-08-26 14:13:20.651000,-81.7738398,35.7108275,320.636031174377,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
