start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(34.6477278, -92.4212092, 58.1880497041678)","(34.64819428340486, -92.41991320357654, 57.41357345472909)",5119004104.0,0.410683995273474,5119004104.0,,2.0,360
"(34.65272401269093, -92.41306389372704, 56.77656490724462)","(34.6555014098244, -92.41001090284765, 60.42132103357567)",5119004103.0,0.6071882400838257,5119004103.0,,2.0,360
"(34.6555014098244, -92.41001090284765, 60.42132103357567)","(34.6599151104038, -92.40477865149644, 65.37490604664714)",5119004103.0,0.7743034386832871,5119004103.0,,2.0,172
"(34.6599151104038, -92.40477865149644, 65.37490604664714)","(34.66283339734471, -92.40015817999053, 64.93070118026493)",5119004103.0,1.040495555205255,5119004103.0,,2.0,281
"(34.66283339734471, -92.40015817999053, 64.93070118026493)","(34.6657012, -92.3924764, 55.1507101713192)",5119004103.0,1.1783379173331443,5119004103.0,,2.0,201
"(34.6657012, -92.3924764, 55.1507101713192)","(34.6684819, -92.3849807, 58.121821435519)",5119004103.0,1.827077907301556,5119004103.0,,2.0,175
"(34.6684819, -92.3849807, 58.121821435519)","(34.672642, -92.3737829, 50.853702229487)",5119004103.0,1.4386639699920516,5119004103.0,,2.0,153
"(34.672642, -92.3737829, 50.853702229487)","(34.67574683006852, -92.36581669929588, 52.247587671271766)",5119004103.0,0.9166474401142918,5119004103.0,,2.0,155
"(34.678785825118936, -92.32584840666031, 62.77636122519295)","(34.67921482055852, -92.31947584335384, 55.56986242136438)",5119002002.0,0.9576299766938707,5119002002.0,,2.0,98
"(34.67921482055852, -92.31947584335384, 55.56986242136438)","(34.68098624456522, -92.31436356805293, 46.39569406275852)",5119002002.0,0.9744753772519806,5119002002.0,,2.0,367
"(34.68098624456522, -92.31436356805293, 46.39569406275852)","(34.6818932, -92.3125694, 44.4432626081039)",5119002002.0,0.19277123737505655,5119002002.0,,2.0,98
"(34.6818932, -92.3125694, 44.4432626081039)","(34.682734561269214, -92.31143317003598, 45.16571158403001)",5119002002.0,0.21467901791177377,5119002002.0,,2.0,88
"(34.682734561269214, -92.31143317003598, 45.16571158403001)","(34.6844886, -92.3090644, 46.6718463814703)",5119002002.0,0.2915229981008282,5119002002.0,,2.0,98
"(34.6844886, -92.3090644, 46.6718463814703)","(34.696446765201884, -92.3012017259518, 44.47900557700965)",5119002002.0,2.277127293690077,5119002002.0,,2.0,88
"(34.696446765201884, -92.3012017259518, 44.47900557700965)","(34.70414577694335, -92.29411559707628, 45.29447862225114)",5119002002.0,1.4940861572292523,5119002002.0,,2.0,350
"(34.7078937, -92.2794457, 45.6961746946455)","(34.71478615522459, -92.25696198562648, 50.997311037258754)",5119004001.0,3.6249824693790873,5119004001.0,,2.0,443
"(34.71478615522459, -92.25696198562648, 50.997311037258754)","(34.7148553, -92.2567684, 51.2079709286957)",5119004001.0,0.0193223655635714,5119004001.0,,2.0,73
"(34.7148553, -92.2567684, 51.2079709286957)","(34.7148553, -92.2567684, 51.2079709286957)",5119004001.0,0.040863780324983175,5119004001.0,,2.0,403
"(34.716733545519205, -92.24980889786627, 45.97638014397431)","(34.7167735, -92.2495984, 45.9593218913116)",5119980400.0,0.05498799643421373,5119980400.0,,2.0,443
"(34.7167735, -92.2495984, 45.9593218913116)","(34.7167735, -92.2495984, 45.9593218913116)",5119980400.0,0.0,5119980400.0,,2.0,6
"(34.7167735, -92.2495984, 45.9593218913116)","(34.71681855832489, -92.2486373047538, 46.69946353693416)",5119980400.0,0.17643266273381478,5119980400.0,,2.0,32
"(34.71681855832489, -92.2486373047538, 46.69946353693416)","(34.716965, -92.2455137, 49.1049586966379)",5119980400.0,0.46296661300425607,5119980400.0,,2.0,326
"(34.716965, -92.2455137, 49.1049586966379)","(34.716965, -92.2455137, 49.1049586966379)",5119980400.0,0.0,5119980400.0,,2.0,6
"(34.7169635, -92.2417141, 48.2648752737936)","(34.71690955936573, -92.23697413612584, 55.62720548948624)",5119004001.0,0.4344482912574991,5119004001.0,,2.0,6
"(34.71690955936573, -92.23697413612584, 55.62720548948624)","(34.7164607, -92.2264961, 50.484407579953)",5119004001.0,1.4473962175815525,5119004001.0,,2.0,32
"(34.7164607, -92.2264961, 50.484407579953)","(34.71599223434578, -92.20979277997812, 49.31967585013858)",5119004001.0,2.4032937624926722,5119004001.0,,2.0,99
"(34.71599223434578, -92.20979277997812, 49.31967585013858)","(34.7151429, -92.2066282, 46.9119458641651)",5119004001.0,0.30482460334099215,5119004001.0,,2.0,6
"(34.7151429, -92.2066282, 46.9119458641651)","(34.7151429, -92.2066282, 46.9119458641651)",5119004001.0,0.036213820045473265,5119004001.0,,2.0,99
"(34.71476044217979, -92.2019334562315, 47.00411285958881)","(34.7150484, -92.1936897, 47.5846438323354)",5119004007.0,1.2563047396197604,5119004007.0,,2.0,56
"(34.7150484, -92.1936897, 47.5846438323354)","(34.71672619694915, -92.18579159762712, 47.12926770194342)",5119004007.0,0.9124246858155922,5119004007.0,,2.0,186
"(34.71672619694915, -92.18579159762712, 47.12926770194342)","(34.71741910118765, -92.18419162185272, 50.2440657375338)",5119004007.0,0.4981225655494224,5119004007.0,,2.0,56
"(34.71741910118765, -92.18419162185272, 50.2440657375338)","(34.71845212367983, -92.1821330769419, 54.473439856467)",5119004007.0,0.2731893014347124,5119004007.0,,2.0,186
"(34.71845212367983, -92.1821330769419, 54.473439856467)","(34.7182064, -92.1823752, 53.7734824049116)",5119004007.0,0.03514928983925438,5119004007.0,,2.0,56
"(34.7182064, -92.1823752, 53.7734824049116)","(34.72096529134256, -92.17970433165937, 61.18181664940493)",5119004007.0,0.3922180164741786,5119004007.0,,2.0,430
"(34.7268989, -92.175759, 49.7851384976215)","(34.72705121717105, -92.17565020269905, 49.522634015892415)",5119003900.0,0.05013766889471369,5119003900.0,,2.0,352
"(34.72705121717105, -92.17565020269905, 49.522634015892415)","(34.7301066, -92.1734678, 44.2569658022673)",5119003900.0,0.8256333387819278,5119003900.0,,2.0,56
"(34.7301066, -92.1734678, 44.2569658022673)","(34.74824188714491, -92.16277672684237, 46.35281837724039)",5119003900.0,2.5073303434708967,5119003900.0,,2.0,352
"(34.74824188714491, -92.16277672684237, 46.35281837724039)","(34.751295816692206, -92.16257805323472, 44.080090716624014)",5119003900.0,0.8522528555174128,5119003900.0,,2.0,221
"(34.751295816692206, -92.16257805323472, 44.080090716624014)","(34.7696154, -92.161858, 43.335227396011)",5119003900.0,4.145989550347956,5119003900.0,,2.0,429
