index,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance,distance_to_next_point_meters,cum_distance
40315,267.92,1,-96.2953394,32.9796966,168.332260131836,127.825318504602,1724421977736,5,-88,-13,-55,3,3f,NaN,0,0
40316,267.92,1,-96.2953394,32.9796966,168.332260131836,127.825318504602,1724421978738,5,-88,-13,-55,3,3f,NaN,1.07929504189416,1.07929504189416
40317,267.92,1,-96.2953324974155,32.9796888099404,168.336868286133,127.825318504602,1724421979739,5,-88,-13,-55,3,3f,NaN,0.0152319899771005,1.09452703187126
40318,267.92,1,-96.2953324,32.9796887,168.336959838867,127.825318504602,1724421980742,3,-88,-12,-59,3,3f,NaN,0,1.09452703187126
40319,267.92,1,-96.2953324,32.9796887,168.336959838867,127.825318504602,1724421981747,3,-88,-12,-59,3,3f,NaN,0,1.09452703187126
40320,267.92,1,-96.2953324,32.9796887,168.336959838867,127.825318504602,1724421982753,3,-89,-13,-59,3,3f,NaN,0,1.09452703187126
40321,267.92,1,-96.2953324,32.9796887,168.336959838867,127.825318504602,1724421983751,3,-89,-13,-59,3,3f,NaN,3.17802213037825,4.27254916224951
40322,267.92,1,-96.2953202103896,32.9796620111688,168.369812011719,127.719265728811,1724421984751,3,-87,-12,-59,3,3f,NaN,3.22305495402163,7.49560411627114
40323,267.92,1,-96.295307848052,32.9796349441558,168.418228149414,127.611710180894,1724421985753,3,-87,-12,-59,3,3f,NaN,1.02931897160205,8.52492308787319
40324,267.92,1,-96.2953039,32.9796263,168.431243896484,127.577361103715,1724421986759,3,-87,-12,-55,3,3f,NaN,0,8.52492308787319
40325,267.92,1,-96.2953039,32.9796263,168.431243896484,127.577361103715,1724421987759,3,-87,-12,-55,3,3f,NaN,0,8.52492308787319
40326,267.92,1,-96.2953039,32.9796263,168.431243896484,127.577361103715,1724421988764,3,-89,-12,-59,3,3f,NaN,0,8.52492308787319
40327,267.92,1,-96.2953039,32.9796263,168.431243896484,127.577361103715,1724421989765,3,-89,-12,-59,3,3f,NaN,5.53596867691929,14.0608917647925
40328,267.92,1,-96.2952559299103,32.9795969849452,168.44889831543,127.577361103715,1724421990773,5,-90,-11,-59,3,3f,NaN,0.0726945513306149,14.1335863161231
40329,267.92,1,-96.2952553,32.9795966,168.44905090332,127.577361103715,1724421991775,5,-90,-11,-59,3,3f,NaN,0,14.1335863161231
40330,267.92,1,-96.2952553,32.9795966,168.44905090332,127.577361103715,1724421992774,5,-92,-12,-63,3,3f,NaN,0,14.1335863161231
40331,267.92,1,-96.2952553,32.9795966,168.44905090332,127.577361103715,1724421993776,5,-92,-12,-63,3,3f,NaN,0,14.1335863161231
40332,267.92,1,-96.2952553,32.9795966,168.44905090332,127.577361103715,1724421994776,5,-92,-12,-63,3,3f,NaN,6.8769576798334,21.0105439959565
40333,267.92,1,-96.2951920321175,32.9795648484604,168.517944335938,128.174382851,1724421995779,5,-92,-12,-63,3,3f,NaN,6.95313931910635,27.9636833150629
40334,267.92,1,-96.2951280633823,32.9795327451919,168.531753540039,128.778018132243,1724421996783,5,-92,-12,-63,3,3f,NaN,0.789500003827212,28.7531833188901
40335,267.92,1,-96.2951208,32.9795291,168.530822753906,128.846558393261,1724421997784,5,-88,-13,-57,3,3f,NaN,0,28.7531833188901
40336,267.92,1,-96.2951208,32.9795291,168.530822753906,128.846558393261,1724421998785,5,-88,-13,-57,3,3f,NaN,0,28.7531833188901
40337,267.92,1,-96.2951208,32.9795291,168.530822753906,128.846558393261,1724421999791,4,-87,-11,-55,3,3f,NaN,0,28.7531833188901
40338,267.92,1,-96.2951208,32.9795291,168.530822753906,128.846558393261,1724422000791,4,-87,-11,-55,3,3f,NaN,0.615410569572948,29.368593888463
40339,267.92,1,-96.2951144771859,32.9795275192965,168.528533935547,128.846558393261,1724422001790,4,-87,-11,-59,3,3f,NaN,0.00751263966236318,29.3761065281254
40340,267.92,1,-96.2951144,32.9795275,168.528503417969,128.846558393261,1724422002792,4,-87,-11,-59,3,3f,NaN,0,29.3761065281254
40341,267.92,1,-96.2951144,32.9795275,168.528503417969,128.846558393261,1724422003794,4,-86,-11,-55,3,3f,NaN,0,29.3761065281254
40342,267.92,1,-96.2951144,32.9795275,168.528503417969,128.846558393261,1724422004795,4,-86,-11,-55,3,3f,NaN,0,29.3761065281254
40343,267.92,1,-96.2951144,32.9795275,168.528503417969,128.846558393261,1724422005797,4,-87,-13,-57,3,3f,NaN,0,29.3761065281254
40344,267.92,1,-96.2951144,32.9795275,168.528503417969,128.846558393261,1724422006803,4,-87,-13,-57,3,3f,NaN,2.26891783067372,31.6450243587991
40345,267.92,1,-96.2951276731649,32.9795445992374,168.517120361328,128.359878764976,1724422007805,4,-89,-12,-59,3,3f,NaN,2.29868149730561,33.9437058561047
40346,267.92,1,-96.295141120448,32.9795619227836,168.498107910156,127.866814842878,1724422008809,4,-89,-12,-59,3,3f,NaN,0.235820906005386,34.1795267621101
40347,267.92,1,-96.2951425,32.9795637,168.496429443359,127.816231591906,1724422009810,4,-91,-14,-59,3,3f,NaN,0,34.1795267621101
40348,267.92,1,-96.2951425,32.9795637,168.496429443359,127.816231591906,1724422010815,4,-91,-14,-59,3,3f,NaN,0,34.1795267621101
40349,267.92,1,-96.2951425,32.9795637,168.496429443359,127.816231591906,1724422011815,4,-92,-12,-61,3,3f,NaN,0.790018651272183,34.9695454133823
40350,267.92,1,-96.2951473414925,32.9795695295522,168.491592407227,127.816231591906,1724422012820,4,-92,-12,-61,3,3f,NaN,0.00954705893104623,34.9790924723133
40351,267.92,1,-96.2951474,32.9795696,168.49153137207,127.816231591906,1724422013817,4,-90,-11,-63,3,3f,NaN,0,34.9790924723133
40352,267.92,1,-96.2951474,32.9795696,168.49153137207,127.816231591906,1724422014823,4,-90,-11,-63,3,3f,NaN,0,34.9790924723133
40353,267.92,1,-96.2951474,32.9795696,168.49153137207,127.816231591906,1724422015825,4,-87,-12,-57,3,3f,NaN,0,34.9790924723133
