start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(35.3213656, -89.569214, 69.0152620882237)","(35.3323252, -89.5535915, 70.8879141376969)",47047060300,2.0854307110300967,47047060300,,8,58
"(35.3323252, -89.5535915, 70.8879141376969)","(35.3429433, -89.5310191, 65.9436758782441)",47047060300,2.642742547506841,47047060300,,8,145
"(35.3429433, -89.5310191, 65.9436758782441)","(35.3464006, -89.5235333, 65.6622991068229)",47047060300,0.7812875867798335,47047060300,,8,231
"(35.3464006, -89.5235333, 65.6622991068229)","(35.3732227, -89.4645696, 73.8973933997452)",47047060300,7.261864129405402,47047060300,,8,145
"(35.3732227, -89.4645696, 73.8973933997452)","(35.386015, -89.4234115, 73.9128980449712)",47047060300,4.62175270354012,47047060300,,8,27
"(35.386015, -89.4234115, 73.9128980449712)","(35.3894665, -89.4163652, 72.1929464436155)",47047060300,0.7460614644446715,47047060300,,8,428
"(36.15180079567294, -86.62569148627752, 153.4898539875191)","(36.1569413, -86.625859, 132.300261310405)",47037015624,1.001671580654148,47037015624,,2,357
"(36.1569413, -86.625859, 132.300261310405)","(36.158523, -86.6243854, 124.156223164379)",47037015624,0.26805997527190073,47037015624,,2,56
"(36.158523, -86.6243854, 124.156223164379)","(36.1602688, -86.6217916, 116.196973616492)",47037015624,0.30342460606068855,47037015624,,2,367
"(36.16521772594278, -86.61384831228868, 137.72155695799265)","(36.1686329, -86.6078245, 137.276033781022)",47037015632,0.825291781171089,47037015632,,2,311
"(36.1686329, -86.6078245, 137.276033781022)","(36.1697419, -86.6038392, 132.173232956232)",47037015632,0.37913136705304185,47037015632,,2,497
"(36.1697419, -86.6038392, 132.173232956232)","(36.1701281, -86.5957244, 130.299529844933)",47037015632,0.8183166871350321,47037015632,,2,96
"(36.1701281, -86.5957244, 130.299529844933)","(36.1697579, -86.5909819, 130.902709960938)",47037015632,0.42866398558051017,47037015632,,2,497
"(36.1697579, -86.5909819, 130.902709960938)","(36.1696521, -86.5868216, 141.462053897347)",47037015632,0.3746435564794403,47037015632,,2,96
"(36.1686706, -86.5644341, 156.985936064674)","(36.1680021, -86.5509885, 161.511901440029)",47189030906,1.2125653805873178,47189030906,,9,163
"(36.1680021, -86.5509885, 161.511901440029)","(36.16795081833423, -86.55029773893528, 162.0986515621842)",47189030906,0.06241351357789046,47189030906,,9,325
"(36.16795081833423, -86.55029773893528, 162.0986515621842)","(36.1676744, -86.5465744, 165.26135091902)",47189030906,0.46124901855393696,47189030906,,9,240
"(36.1676744, -86.5465744, 165.26135091902)","(36.1674702, -86.5418333, 168.490918608001)",47189030906,0.42719360459756067,47189030906,,9,163
