start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(32.9895741, -96.2551835, 140.074263578749)","(32.991922171640184, -96.25136291315984, 139.67277825586342)",48231961401,0.5655980498912957,48231961401,267.92,1,362
"(32.991922171640184, -96.25136291315984, 139.67277825586342)","(32.9938573, -96.2483851, 137.845591542105)",48231961401,0.5698219869240966,48231961401,267.92,1,492
"(32.9938573, -96.2483851, 137.845591542105)","(33.0078484, -96.2242214, 136.754358400705)",48231961401,3.3897502691024797,48231961401,267.92,1,231
"(33.0078484, -96.2242214, 136.754358400705)","(33.0098139, -96.2206989, 138.61943636547)",48231961401,0.3948044817316622,48231961401,267.92,1,320
"(33.0098139, -96.2206989, 138.61943636547)","(33.01000524769701, -96.22036413547548, 138.45214590253988)",48231961401,0.037801545044288815,48231961401,267.92,1,36
"(33.01000524769701, -96.22036413547548, 138.45214590253988)","(33.01173717028814, -96.2173341212565, 136.93796968531618)",48231961401,0.4177491355158311,48231961401,267.92,1,320
"(33.01173717028814, -96.2173341212565, 136.93796968531618)","(33.0180973, -96.206392, 135.533567610856)",48231961401,1.6594896537316637,48231961401,267.92,1,36
"(33.0180973, -96.206392, 135.533567610856)","(33.0314799, -96.1899036, 138.514382518178)",48231961401,2.62531095593838,48231961401,267.92,1,364
"(33.0314799, -96.1899036, 138.514382518178)","(33.0342067, -96.1872554, 137.421244290002)",48231961401,0.390724340237995,48231961401,267.92,1,337
"(33.0482724, -96.1756029, 135.409239038632)","(33.067066, -96.1501439, 139.34913885608)",48231961300,4.287060085191198,48231961300,165.07,1,30
"(33.067066, -96.1501439, 139.34913885608)","(33.06940291657936, -96.1474196045036, 133.5641837807554)",48231961300,0.438375989579699,48231961300,165.07,1,494
"(33.06940291657936, -96.1474196045036, 133.5641837807554)","(33.0767064, -96.1394043, 139.870927370416)",48231961300,1.2584651917828702,48231961300,165.07,1,189
"(33.0767064, -96.1394043, 139.870927370416)","(33.0793783, -96.1364826, 142.722169597761)",48231961300,0.4027991143298552,48231961300,165.07,1,313
"(33.0793783, -96.1364826, 142.722169597761)","(33.0846191, -96.1305714, 144.312886139219)",48231961300,0.8961105076924374,48231961300,165.07,1,189
"(33.0846191, -96.1305714, 144.312886139219)","(33.0868534, -96.1276634, 144.444178890695)",48231961300,0.48267698020209054,48231961300,165.07,1,441
"(33.0868534, -96.1276634, 144.444178890695)","(33.0868534, -96.1276634, 144.444178890695)",48231961300,0.0,48231961300,165.07,1,313
"(33.13308929640694, -96.03396719386782, 136.0340510900814)","(33.133097, -96.0306735, 130.976956504864)",48231961102,0.37094979155510643,48231961102,82.65,1,328
"(33.133097, -96.0306735, 130.976956504864)","(33.132759193053964, -96.02264329287206, 131.4132283497526)",48231961102,1.1756468387507661,48231961102,82.65,1,13
"(33.132759193053964, -96.02264329287206, 131.4132283497526)","(33.132766, -96.0228742, 131.452598216608)",48231961102,0.14853312157463872,48231961102,82.65,1,328
"(33.132766, -96.0228742, 131.452598216608)","(33.1326502, -96.018946, 130.782836687995)",48231961102,0.5767429952711348,48231961102,82.65,1,13
"(33.1326502, -96.018946, 130.782836687995)","(33.13237513254938, -96.01471747732673, 135.18852697281673)",48231961102,0.5275398374932767,48231961102,82.65,1,328
"(33.13237513254938, -96.01471747732673, 135.18852697281673)","(33.13215906241675, -96.01333216517602, 136.5591667685485)",48231961102,0.1838945432638984,48231961102,82.65,1,13
"(33.13215906241675, -96.01333216517602, 136.5591667685485)","(33.1318691, -96.0114731, 138.398541895558)",48231961102,0.17644540939254014,48231961102,82.65,1,328
"(33.1318691, -96.0114731, 138.398541895558)","(33.131804517984385, -96.01114714071645, 139.32801284885136)",48231961102,0.03126301410283258,48231961102,82.65,1,13
"(33.131804517984385, -96.01114714071645, 139.32801284885136)","(33.131675643751294, -96.01049668482264, 141.18278395111622)",48231961102,0.2940541292749087,48231961102,82.65,1,328
"(33.131675643751294, -96.01049668482264, 141.18278395111622)","(33.1310452, -96.0073147, 150.256194697437)",48231961102,0.49248625035938776,48231961102,82.65,1,13
"(33.12956559199543, -95.99836868911278, 135.65310724765945)","(33.1294757, -95.9948774, 140.844518632448)",48231960700,0.5623527305110567,48231960700,46.18,1,13
"(33.1294757, -95.9948774, 140.844518632448)","(33.12910414547956, -95.98569486433288, 140.66660908863358)",48231960700,1.043379299681517,48231960700,46.18,1,328
"(33.12910414547956, -95.98569486433288, 140.66660908863358)","(33.1288986, -95.9775433, 135.107072947678)",48231960700,1.1329771348213302,48231960700,46.18,1,158
"(33.1288986, -95.9775433, 135.107072947678)","(33.1302233, -95.9632886, 146.753173361335)",48231960700,1.5423321751769,48231960700,46.18,1,345
"(33.1302233, -95.9632886, 146.753173361335)","(33.1302233, -95.9632886, 146.753173361335)",48231960700,0.0,48231960700,46.18,1,105
