start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(34.1024164, -99.0801542, 341.566970174915)","(34.099772485365854, -99.07433628474412, 337.6261083842243)",48487950300,0.8366158148757559,48487950300,2.29,6,213
"(34.099772485365854, -99.07433628474412, 337.6261083842243)","(34.0813701, -99.0327296, 345.650184214763)",48487950300,6.421712177247023,48487950300,2.29,6,289
"(34.0813701, -99.0327296, 345.650184214763)","(34.0741327, -99.0171662, 336.163704307175)",48487950300,2.006462846270785,48487950300,2.29,6,431
"(34.0741327, -99.0171662, 336.163704307175)","(34.07124734339354, -99.01151551097908, 335.92573621787363)",48487950300,0.6524174161381945,48487950300,2.29,6,213
"(34.07124734339354, -99.01151551097908, 335.92573621787363)","(34.0673514, -99.0028996, 328.693623319415)",48487950300,1.0639344797349422,48487950300,2.29,6,209
"(34.0673514, -99.0028996, 328.693623319415)","(34.059586013647284, -98.98588065343584, 335.2051443688469)",48487950300,2.1624093898314345,48487950300,2.29,6,213
"(34.059586013647284, -98.98588065343584, 335.2051443688469)","(34.04842230172249, -98.95951782095692, 335.2377444233628)",48487950300,4.189365858221767,48487950300,2.29,6,209
"(34.04842230172249, -98.95951782095692, 335.2377444233628)","(34.04815978757631, -98.9588742926033, 335.75632702109635)",48487950300,0.11989672556990562,48487950300,2.29,6,213
"(33.9944997, -98.8297448, 300.365786140487)","(33.99170582066327, -98.82663988162231, 297.1565558361462)",48485013800,0.7683629533296044,48485013800,11.26,9,491
"(33.99170582066327, -98.82663988162231, 297.1565558361462)","(33.9896779, -98.8236091, 296.799102159075)",48485013800,0.6944415397290578,48485013800,11.26,9,33
"(33.9896779, -98.8236091, 296.799102159075)","(33.9896779, -98.8236091, 296.799102159075)",48485013800,0.09262127959734542,48485013800,11.26,9,491
"(33.9896779, -98.8236091, 296.799102159075)","(33.97890003902439, -98.79911437073171, 288.21571192924205)",48485013800,3.166604228234476,48485013800,11.26,9,33
"(33.97890003902439, -98.79911437073171, 288.21571192924205)","(33.97709694577086, -98.79469287843878, 288.15060316350275)",48485013800,0.6297929241713949,48485013800,11.26,9,491
"(33.97709694577086, -98.79469287843878, 288.15060316350275)","(33.975662, -98.7912684, 286.811126536851)",48485013800,0.4049831981853338,48485013800,11.26,9,33
"(33.975662, -98.7912684, 286.811126536851)","(33.975251138542646, -98.79019923523852, 286.40391175482875)",48485013800,0.17087973664721695,48485013800,11.26,9,37
"(33.975251138542646, -98.79019923523852, 286.40391175482875)","(33.9739119, -98.7867142, 285.076559866596)",48485013800,0.5723127371105108,48485013800,11.26,9,33
"(33.9739119, -98.7867142, 285.076559866596)","(33.9739119, -98.7867142, 285.076559866596)",48485013800,0.0,48485013800,11.26,9,153
"(33.9739119, -98.7867142, 285.076559866596)","(33.97202964648978, -98.77774798441236, 284.5470326641589)",48485013800,1.046754317067621,48485013800,11.26,9,310
"(33.97202964648978, -98.77774798441236, 284.5470326641589)","(33.9714127, -98.7741304, 287.525796679526)",48485013800,0.8159503342957081,48485013800,11.26,9,5
"(33.9714127, -98.7741304, 287.525796679526)","(33.97103612695606, -98.76538509034144, 288.0356161746307)",48485013800,0.9148042342442126,48485013800,11.26,9,37
"(33.97103612695606, -98.76538509034144, 288.0356161746307)","(33.971007, -98.7490005, 276.637751334878)",48485013800,2.637747270133373,48485013800,11.26,9,5
"(33.971007, -98.7490005, 276.637751334878)","(33.970858, -98.7377016, 279.329474523924)",48485013800,1.1841216318269532,48485013800,11.26,9,314
"(33.970858, -98.7377016, 279.329474523924)","(33.96570703516484, -98.70919913076922, 279.4023839038451)",48485013800,4.052249150880299,48485013800,11.26,9,5
