start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(np.float64(35.9250576), np.float64(-80.5861637), np.float64(202.81857789805))","(np.float64(35.9270983), np.float64(-80.583008), np.float64(193.0990952377))",37059080600.0,0.5577420898931146,37059080600.0,213.48,2.0,418
"(np.float64(35.9270983), np.float64(-80.583008), np.float64(193.0990952377))","(np.float64(35.93280510685037), np.float64(-80.57424335591274), np.float64(197.8324498276592))",37059080600.0,1.2910915849802846,37059080600.0,213.48,2.0,290
"(np.float64(35.93280510685037), np.float64(-80.57424335591274), np.float64(197.8324498276592))","(np.float64(35.94012676617856), np.float64(-80.56265785852621), np.float64(198.12903358835))",37059080600.0,2.7109149644996995,37059080600.0,213.48,2.0,485
"(np.float64(35.94012676617856), np.float64(-80.56265785852621), np.float64(198.12903358835))","(np.float64(35.941104), np.float64(-80.5609485), np.float64(197.797939357298))",37059080600.0,0.3284461267328751,37059080600.0,213.48,2.0,500
"(np.float64(35.941104), np.float64(-80.5609485), np.float64(197.797939357298))","(np.float64(35.9429626), np.float64(-80.557166), np.float64(192.259773012973))",37059080600.0,0.5055461786412482,37059080600.0,213.48,2.0,485
"(np.float64(35.9591519), np.float64(-80.5283028), np.float64(182.965205244064))","(np.float64(35.96323904731591), np.float64(-80.52172144674584), np.float64(171.09855888424835))",37059080302.0,0.8481215290201038,37059080302.0,176.71,2.0,500
"(np.float64(35.96323904731591), np.float64(-80.52172144674584), np.float64(171.09855888424835))","(np.float64(35.9681296), np.float64(-80.5145077), np.float64(176.065538197966))",37059080302.0,1.217484648089755,37059080302.0,176.71,2.0,12
"(np.float64(35.9681296), np.float64(-80.5145077), np.float64(176.065538197966))","(np.float64(35.97452852275862), np.float64(-80.50618399264367), np.float64(181.5205043095032))",37059080302.0,2.054799142996693,37059080302.0,176.71,2.0,500
"(np.float64(35.97452852275862), np.float64(-80.50618399264367), np.float64(181.5205043095032))","(np.float64(35.9836579), np.float64(-80.4949568), np.float64(203.07647483491))",37059080302.0,1.8317694023299156,37059080302.0,176.71,2.0,450
"(np.float64(35.9836579), np.float64(-80.4949568), np.float64(203.07647483491))","(np.float64(35.98624295650057), np.float64(-80.49174352776193), np.float64(197.0136322994769))",37059080302.0,0.40779206337639035,37059080302.0,176.71,2.0,150
"(np.float64(35.98624295650057), np.float64(-80.49174352776193), np.float64(197.0136322994769))","(np.float64(35.986073), np.float64(-80.4919502), np.float64(197.071112251279))",37059080302.0,0.02651483792236773,37059080302.0,176.71,2.0,389
"(np.float64(35.986073), np.float64(-80.4919502), np.float64(197.071112251279))","(np.float64(35.986073), np.float64(-80.4919502), np.float64(197.071112251279))",37059080302.0,0.0,37059080302.0,176.71,2.0,450
"(np.float64(35.986073), np.float64(-80.4919502), np.float64(197.071112251279))","(np.float64(35.98891646029609), np.float64(-80.48848499827005), np.float64(196.1370246803406))",37059080302.0,0.44407906110144957,37059080302.0,176.71,2.0,150
"(np.float64(35.98891646029609), np.float64(-80.48848499827005), np.float64(196.1370246803406))","(np.float64(35.9912637), np.float64(-80.4855724), np.float64(195.55843716208))",37059080302.0,0.606854573855119,37059080302.0,176.71,2.0,428
"(np.float64(35.9912637), np.float64(-80.4855724), np.float64(195.55843716208))","(np.float64(35.9938362), np.float64(-80.4822098), np.float64(203.295491239026))",37059080302.0,0.46470588007359237,37059080302.0,176.71,2.0,150
"(np.float64(35.9938362), np.float64(-80.4822098), np.float64(203.295491239026))","(np.float64(35.99606411808628), np.float64(-80.47827993440973), np.float64(212.93602575776688))",37059080302.0,0.5768818756180679,37059080302.0,176.71,2.0,307
"(np.float64(36.00316760519603), np.float64(-80.45617285040152), np.float64(193.692813178392))","(np.float64(36.0048157), np.float64(-80.4498792), np.float64(188.016461934246))",37059080301.0,0.5962348441189677,37059080301.0,822.58,2.0,387
"(np.float64(36.02387131488658), np.float64(-80.40287672533081), np.float64(193.6656647790796))","(np.float64(36.0256756), np.float64(-80.3990813), np.float64(198.273282616342))",37067004005.0,0.6920975032387845,37067004005.0,969.44,1.0,9
"(np.float64(36.0406412502439), np.float64(-80.37676720878049), np.float64(197.4253975664348))","(np.float64(36.0414621), np.float64(-80.3755144), np.float64(200.063342636433))",37067004013.0,0.14508729126737188,37067004013.0,1706.35,1.0,56
"(np.float64(36.0475049), np.float64(-80.3656777), np.float64(175.781138547874))","(np.float64(36.05183507991077), np.float64(-80.3587362536677), np.float64(189.80638167199743))",37067003904.0,0.7889347106873925,37067003904.0,2174.52,1.0,104
"(np.float64(36.05183507991077), np.float64(-80.3587362536677), np.float64(189.80638167199743))","(np.float64(36.0617349), np.float64(-80.3428011), np.float64(205.442475550994))",37067003904.0,2.338470104152887,37067003904.0,2174.52,1.0,53
"(np.float64(36.0698589), np.float64(-80.3290023), np.float64(188.606674553618))","(np.float64(36.0707884), np.float64(-80.3254305), np.float64(199.947185287412))",37067003805.0,0.6063726385744691,37067003805.0,2246.26,1.0,256
"(np.float64(36.0707884), np.float64(-80.3254305), np.float64(199.947185287412))","(np.float64(36.0708151), np.float64(-80.3216792), np.float64(204.318936639433))",37067003805.0,0.33798041046635136,37067003805.0,2246.26,1.0,231
"(np.float64(36.0708151), np.float64(-80.3216792), np.float64(204.318936639433))","(np.float64(36.07068675051483), np.float64(-80.32111621500675), np.float64(204.69089132782648))",37067003805.0,0.0526801323703235,37067003805.0,2246.26,1.0,256
"(np.float64(36.07068675051483), np.float64(-80.32111621500675), np.float64(204.69089132782648))","(np.float64(36.0686204), np.float64(-80.3144249), np.float64(201.238498854061))",37067003805.0,0.8610440855444527,37067003805.0,2246.26,1.0,231
"(np.float64(36.0686204), np.float64(-80.3144249), np.float64(201.238498854061))","(np.float64(36.0679832494022), np.float64(-80.31261130765185), np.float64(203.88975398301488))",37067003805.0,0.2670894920049485,37067003805.0,2246.26,1.0,256
"(np.float64(36.0657547), np.float64(-80.3068364), np.float64(207.760768552212))","(np.float64(36.0647294), np.float64(-80.3025136), np.float64(201.521297129883))",37067003804.0,0.4057766890546789,37067003804.0,750.11,1.0,19
"(np.float64(36.0647294), np.float64(-80.3025136), np.float64(201.521297129883))","(np.float64(36.0647294), np.float64(-80.3025136), np.float64(201.521297129883))",37067003804.0,0.0,37067003804.0,750.11,1.0,43
"(np.float64(36.0647294), np.float64(-80.3025136), np.float64(201.521297129883))","(np.float64(36.06427650696023), np.float64(-80.29864343167614), np.float64(194.3838958315319))",37067003804.0,0.6450197025726424,37067003804.0,750.11,1.0,19
"(np.float64(36.06427650696023), np.float64(-80.29864343167614), np.float64(194.3838958315319))","(np.float64(36.0642485), np.float64(-80.2984041), np.float64(193.942518074017))",37067003804.0,0.021789441085624698,37067003804.0,750.11,1.0,43
"(np.float64(36.0630879), np.float64(-80.2894963), np.float64(198.60723605012))","(np.float64(36.0624267), np.float64(-80.2850785), np.float64(192.157531551549))",37067003803.0,0.4047786160040521,37067003803.0,708.48,1.0,104
"(np.float64(36.0624267), np.float64(-80.2850785), np.float64(192.157531551549))","(np.float64(36.06204874251392), np.float64(-80.28222348883679), np.float64(191.8008902038092))",37067003803.0,0.289482121080968,37067003803.0,708.48,1.0,93
"(np.float64(36.0614005), np.float64(-80.2760578), np.float64(191.468362085478))","(np.float64(36.0626429), np.float64(-80.2682226), np.float64(179.769714355469))",37067003701.0,0.8347090348158988,37067003701.0,1889.42,1.0,184
"(np.float64(36.0626429), np.float64(-80.2682226), np.float64(179.769714355469))","(np.float64(36.06283242827478), np.float64(-80.26772705633654), np.float64(180.80427596825388))",37067003701.0,0.15804417020969896,37067003701.0,1889.42,1.0,164
"(np.float64(36.06283242827478), np.float64(-80.26772705633654), np.float64(180.80427596825388))","(np.float64(36.0638539), np.float64(-80.2650563), np.float64(186.380095389706))",37067003701.0,0.42471948854036695,37067003701.0,1889.42,1.0,184
"(np.float64(36.0638539), np.float64(-80.2650563), np.float64(186.380095389706))","(np.float64(36.064011052760016), np.float64(-80.26453609699016), np.float64(185.94276298889585))",37067003701.0,0.050007888003056465,37067003701.0,1889.42,1.0,213
"(np.float64(36.064011052760016), np.float64(-80.26453609699016), np.float64(185.94276298889585))","(np.float64(36.0648643), np.float64(-80.2617117), np.float64(183.568304761704))",37067003701.0,0.37152767215172067,37067003701.0,1889.42,1.0,164
"(np.float64(36.06551035140543), np.float64(-80.25619263172939), np.float64(188.17145339912847))","(np.float64(36.0655161), np.float64(-80.2543467), np.float64(193.577944771773))",37067001902.0,0.2024753560685258,37067001902.0,2103.83,1.0,406
"(np.float64(36.0655161), np.float64(-80.2543467), np.float64(193.577944771773))","(np.float64(36.06501510809266), np.float64(-80.25081020109374), np.float64(199.16812103220784))",37067001902.0,0.381046389220697,37067001902.0,2103.83,1.0,367
"(np.float64(36.06501510809266), np.float64(-80.25081020109374), np.float64(199.16812103220784))","(np.float64(36.0647535), np.float64(-80.246851), np.float64(195.354894501193))",37067001902.0,0.5433063040223653,37067001902.0,2103.83,1.0,245
"(np.float64(36.0658095), np.float64(-80.2383462), np.float64(203.164711477386))","(np.float64(36.0625647), np.float64(-80.2309273), np.float64(211.844659096046))",37067001901.0,1.375219372879614,37067001901.0,2891.01,1.0,245
"(np.float64(36.0625647), np.float64(-80.2309273), np.float64(211.844659096046))","(np.float64(36.0625647), np.float64(-80.2309273), np.float64(211.844659096046))",37067001901.0,0.07469186716368703,37067001901.0,2891.01,1.0,210
