ci,mcc,mnc,tac,lat,lon,range
120785431,310,410,27909,35.211089,-102.915679,2385.0
203084817,310,410,27662,35.256755,-102.764041,9901.0
203084824,310,410,27662,35.266573,-102.685063,8845.0
203084822,310,410,27662,35.259837,-102.510171,5620.0
202378520,310,410,27662,35.252903,-102.476747,3340.0
202378506,310,410,27662,35.495998,-102.250282,1000.0
202717705,310,410,27654,-1.0,-1.0,-1.0
203290890,310,410,27654,-1.0,-1.0,-1.0
202590986,310,410,27654,35.180725,-101.938177,1000.0
203257617,310,410,27654,35.196372,-101.923833,17689.0
202550289,310,410,27654,35.18524,-101.935497,17777.0
202556177,310,410,27654,35.17621,-101.937296,7204.0
202550288,310,410,27654,35.187068,-101.918194,1012.0
202552593,310,410,27654,35.189658,-101.902577,7938.0
203257616,310,410,27654,35.192275,-101.89623,7497.0
202552591,310,410,27654,35.194386,-101.886437,9428.0
202552592,310,410,27654,35.186948,-101.879669,10020.0
202279441,310,410,27654,35.190927,-101.873345,1903.0
202279439,310,410,27654,35.196051,-101.857951,2632.0
203273231,310,410,27654,35.194465,-101.84669,2997.0
202509073,310,410,27654,35.198524,-101.843377,2752.0
203271960,310,410,27654,35.191301,-101.837491,5854.0
202520088,310,410,27654,35.194618,-101.837475,5920.0
202652950,310,410,27654,35.187456,-101.839126,4158.0
203271959,310,410,27654,35.194682,-101.802141,7271.0
203291414,310,410,27654,-1.0,-1.0,-1.0
203267608,310,410,27654,35.188493,-101.795703,5350.0
203267606,310,410,27654,35.196467,-101.782859,6297.0
203267607,310,410,27654,35.189233,-101.768047,9937.0
202652438,310,410,27654,35.194215,-101.736626,5015.0
203267607,310,410,27654,35.189233,-101.768047,9937.0
202652438,310,410,27654,35.194215,-101.736626,5015.0
202551824,310,410,27654,35.190472,-101.755609,20729.0
202652424,310,410,27654,35.191808,-101.726753,5416.0
202548744,310,410,27654,35.197329,-101.677247,5991.0
202284545,310,410,27651,35.266553,-100.97836,2827.0
203019544,310,410,27654,35.203968,-101.633697,8575.0
203019543,310,410,27654,35.192792,-101.567902,11822.0
203029812,310,410,27651,35.15341,-101.492579,12522.0
203019571,310,410,27654,35.175979,-101.578083,10197.0
203009296,310,410,27654,35.167481,-101.545178,6625.0
203017177,310,410,27651,-1.0,-1.0,-1.0
203019286,310,410,27651,35.092688,-101.311977,4293.0
203016977,310,410,27651,35.098185,-101.326,5033.0
202490378,310,410,27651,-1.0,-1.0,-1.0
202490377,310,410,27651,35.088169,-101.300438,1000.0
