start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(np.float64(36.1359811), np.float64(-85.4533928), np.float64(309.05717840436))","(np.float64(36.13656188735106), np.float64(-85.44876069670009), np.float64(309.2427294598012))",47141000201.0,0.42383325860710297,47141000201.0,,4.0,411
"(np.float64(36.13656188735106), np.float64(-85.44876069670009), np.float64(309.2427294598012))","(np.float64(36.137721), np.float64(-85.4448971), np.float64(308.064745045308))",47141000201.0,0.5110293080969233,47141000201.0,,4.0,72
"(np.float64(36.137721), np.float64(-85.4448971), np.float64(308.064745045308))","(np.float64(36.13968681158799), np.float64(-85.43489316995708), np.float64(290.6881062083526))",47141000201.0,0.9295363765602926,47141000201.0,,4.0,411
"(np.float64(36.1403679), np.float64(-85.4233515), np.float64(271.759544283086))","(np.float64(36.14636848976293), np.float64(-85.4119794024693), np.float64(272.6184122057785))",47141001300.0,1.3460562602756976,47141001300.0,,4.0,74
"(np.float64(36.14636848976293), np.float64(-85.4119794024693), np.float64(272.6184122057785))","(np.float64(36.1465413), np.float64(-85.4081131), np.float64(278.729589608793))",47141001300.0,0.39853027566589316,47141001300.0,,4.0,368
"(np.float64(36.1465413), np.float64(-85.4081131), np.float64(278.729589608793))","(np.float64(36.14644073141621), np.float64(-85.40771811149185), np.float64(279.11384411393067))",47141001300.0,0.03726167950436819,47141001300.0,,4.0,199
"(np.float64(36.14644073141621), np.float64(-85.40771811149185), np.float64(279.11384411393067))","(np.float64(36.142556879979935), np.float64(-85.39475189440164), np.float64(307.0897719168582))",47141001300.0,1.5356067309539632,47141001300.0,,4.0,148
"(np.float64(36.14347163298771), np.float64(-85.36891421324886), np.float64(401.52753747880286))","(np.float64(36.1316819), np.float64(-85.344175), np.float64(513.442338714639))",47141000100.0,5.658936295230745,47141000100.0,,4.0,106
"(np.float64(36.1316819), np.float64(-85.344175), np.float64(513.442338714639))","(np.float64(36.13598271606464), np.float64(-85.3130951918251), np.float64(508.4351980350273))",47141000100.0,5.45021276672974,47141000100.0,,4.0,107
"(np.float64(36.13598271606464), np.float64(-85.3130951918251), np.float64(508.4351980350273))","(np.float64(36.1394188), np.float64(-85.2826602), np.float64(535.96544684555))",47141000100.0,3.6284850417586005,47141000100.0,,4.0,267
"(np.float64(36.1394188), np.float64(-85.2826602), np.float64(535.96544684555))","(np.float64(36.13246130252021), np.float64(-85.26043034778887), np.float64(522.1963113798215))",47141000100.0,3.2822485297018433,47141000100.0,,4.0,350
"(np.float64(36.13246130252021), np.float64(-85.26043034778887), np.float64(522.1963113798215))","(np.float64(36.1287084), np.float64(-85.2577496), np.float64(524.818777832789))",47141000100.0,0.48133882765544717,47141000100.0,,4.0,167
"(np.float64(36.1287084), np.float64(-85.2577496), np.float64(524.818777832789))","(np.float64(36.1262395), np.float64(-85.2559538), np.float64(527.350509621434))",47141000100.0,0.3575381249232103,47141000100.0,,4.0,238
"(np.float64(36.1262395), np.float64(-85.2559538), np.float64(527.350509621434))","(np.float64(36.11812246111453), np.float64(-85.24867793626949), np.float64(538.0117714025941))",47141000100.0,1.26940850598691,47141000100.0,,4.0,167
"(np.float64(36.0942314), np.float64(-85.2308389), np.float64(574.755342397969))","(np.float64(36.0669893), np.float64(-85.1891271), np.float64(564.814110630788))",47035970301.0,5.879856594602937,47035970301.0,,9.0,405
"(np.float64(36.0669893), np.float64(-85.1891271), np.float64(564.814110630788))","(np.float64(36.0534089), np.float64(-85.1717888), np.float64(561.698017857203))",47035970301.0,2.746828953966144,47035970301.0,,9.0,366
