"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","47037012701","TN","47037012701","=""47037012701""","1888.04","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037012702","TN","47037012702","=""47037012702""","1687.47","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037012801","TN","47037012801","=""47037012801""","1602.13","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037012802","TN","47037012802","=""47037012802""","743.82","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013001","TN","47037013001","=""47037013001""","116.57","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013002","TN","47037013002","=""47037013002""","457.32","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013100","TN","47037013100","=""47037013100""","64.06","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013201","TN","47037013201","=""47037013201""","3836.28","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013202","TN","47037013202","=""47037013202""","3337.64","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013300","TN","47037013300","=""47037013300""","5033.73","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013400","TN","47037013400","=""47037013400""","3248.26","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013500","TN","47037013500","=""47037013500""","4420.40","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013600","TN","47037013600","=""47037013600""","3229.66","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013701","TN","47037013701","=""47037013701""","3743.79","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013702","TN","47037013702","=""47037013702""","2044.27","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013800","TN","47037013800","=""47037013800""","5560.96","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037013900","TN","47037013900","=""47037013900""","4703.83","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037014200","TN","47037014200","=""47037014200""","5701.81","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037014300","TN","47037014300","=""47037014300""","3351.18","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037014400","TN","47037014400","=""47037014400""","3855.47","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037014800","TN","47037014800","=""47037014800""","18377.75","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015100","TN","47037015100","=""47037015100""","1342.50","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015200","TN","47037015200","=""47037015200""","1695.49","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015300","TN","47037015300","=""47037015300""","852.39","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015401","TN","47037015401","=""47037015401""","1436.40","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015402","TN","47037015402","=""47037015402""","1519.91","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015404","TN","47037015404","=""47037015404""","1713.38","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015405","TN","47037015405","=""47037015405""","3345.37","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015501","TN","47037015501","=""47037015501""","1489.17","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015502","TN","47037015502","=""47037015502""","2063.45","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015609","TN","47037015609","=""47037015609""","2481.61","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015613","TN","47037015613","=""47037015613""","1517.37","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015614","TN","47037015614","=""47037015614""","5231.48","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015615","TN","47037015615","=""47037015615""","7503.24","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015617","TN","47037015617","=""47037015617""","2207.84","2019-2023","2022","Census","Tennessee (State)"
