technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,campaign_name,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-90,2147483647,-90,-9,-65,2147483647,50,5330,93,7,2147483647,2147483647,3,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724689337698,14401.355445132,2024-08-26 12:22:17.698000,-83.3717935,36.0578111,358.90139140920024,campaign_9,36.0578111,-83.3717935,358.90139140920024
4G_LTE,-95,2147483647,-95,-17,-65,2147483647,45,5330,425,7,2147483647,2147483647,3,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724689337698,14401.355445132,2024-08-26 12:22:17.698000,-83.3717935,36.0578111,358.90139140920024,campaign_9,36.0578111,-83.3717935,358.90139140920024
4G_LTE,-112,2147483647,-112,-13,-87,2147483647,28,700,476,7,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724689337698,14401.355445132,2024-08-26 12:22:17.698000,-83.3717935,36.0578111,358.90139140920024,campaign_9,36.0578111,-83.3717935,358.90139140920024
4G_LTE,-111,2147483647,-111,-13,-87,2147483647,29,700,475,7,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724689337698,14401.355445132,2024-08-26 12:22:17.698000,-83.3717935,36.0578111,358.90139140920024,campaign_9,36.0578111,-83.3717935,358.90139140920024
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,67086,437,7,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-113,4,-113,-10,-85,2147483647,27,67086,205,7,42002348,9112,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-115,2147483647,-115,-11,-93,2147483647,25,66661,476,7,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-114,2147483647,-114,-11,-93,2147483647,26,66661,475,7,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-90,2147483647,-90,-18,-61,2147483647,50,5330,475,7,2147483647,2147483647,3,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-87,2147483647,-87,-11,-61,2147483647,53,5330,93,7,2147483647,2147483647,3,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-89,2147483647,-89,-17,-61,2147483647,51,5330,425,7,2147483647,2147483647,3,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
4G_LTE,-111,2147483647,-111,-12,-89,2147483647,29,700,476,7,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724689338701,14402.356654246,2024-08-26 12:22:18.701000,-83.37120815164724,36.05761012696552,358.29983899099574,campaign_9,36.05761012696552,-83.37120815164724,358.29983899099574
