technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,campaign_name,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-97,2147483647,-97,-9,-77,2147483647,43,5330,80,2147483647,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724011919992,101.465868087,2024-08-18 16:11:59.992000,-119.1747753,35.3547554,75.0999984741211,campaign_4,35.3547554,-119.1747753,75.0999984741211
4G_LTE,-96,2147483647,-96,-10,-79,2147483647,44,5330,239,2147483647,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724011919992,101.465868087,2024-08-18 16:11:59.992000,-119.1747753,35.3547554,75.0999984741211,campaign_4,35.3547554,-119.1747753,75.0999984741211
4G_LTE,-106,2147483647,-106,-17,-71,2147483647,34,66985,248,2147483647,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724011919992,101.465868087,2024-08-18 16:11:59.992000,-119.1747753,35.3547554,75.0999984741211,campaign_4,35.3547554,-119.1747753,75.0999984741211
4G_LTE,-102,2147483647,-102,-13,-79,2147483647,38,66985,362,2147483647,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724011919992,101.465868087,2024-08-18 16:11:59.992000,-119.1747753,35.3547554,75.0999984741211,campaign_4,35.3547554,-119.1747753,75.0999984741211
4G_LTE,-109,-1,-109,-15,-71,2147483647,31,1125,242,2147483647,192417034,34828,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724011920991,102.466108763,2024-08-18 16:12:00.991000,-119.17467592585888,35.35473829993396,75.26173231232993,campaign_4,35.35473829993396,-119.17467592585888,75.26173231232993
4G_LTE,-113,2147483647,-113,-15,-85,2147483647,27,1125,356,2147483647,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011920991,102.466108763,2024-08-18 16:12:00.991000,-119.17467592585888,35.35473829993396,75.26173231232993,campaign_4,35.35473829993396,-119.17467592585888,75.26173231232993
4G_LTE,-117,2147483647,-117,-19,-89,2147483647,23,1125,84,2147483647,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011920991,102.466108763,2024-08-18 16:12:00.991000,-119.17467592585888,35.35473829993396,75.26173231232993,campaign_4,35.35473829993396,-119.17467592585888,75.26173231232993
4G_LTE,-104,2147483647,-104,-9,-87,2147483647,36,775,70,2147483647,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011920991,102.466108763,2024-08-18 16:12:00.991000,-119.17467592585888,35.35473829993396,75.26173231232993,campaign_4,35.35473829993396,-119.17467592585888,75.26173231232993
4G_LTE,-106,2147483647,-106,-9,-87,2147483647,34,775,233,2147483647,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011920991,102.466108763,2024-08-18 16:12:00.991000,-119.17467592585888,35.35473829993396,75.26173231232993,campaign_4,35.35473829993396,-119.17467592585888,75.26173231232993
4G_LTE,-97,2147483647,-97,-9,-77,2147483647,43,5330,80,2147483647,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724011920991,102.466108763,2024-08-18 16:12:00.991000,-119.17467592585888,35.35473829993396,75.26173231232993,campaign_4,35.35473829993396,-119.17467592585888,75.26173231232993
