technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,campaign_name,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-106,2147483647,-106,-13,-85,2147483647,34,1000,3,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356125895,22604.549890231,2024-08-22 15:48:45.895000,-97.283449,33.022036,164.10000610351562,campaign_7,33.022036,-97.283449,164.10000610351562
4G_LTE,-110,2147483647,-110,-17,-85,2147483647,30,1000,472,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356125895,22604.549890231,2024-08-22 15:48:45.895000,-97.283449,33.022036,164.10000610351562,campaign_7,33.022036,-97.283449,164.10000610351562
4G_LTE,-103,-4,-103,-14,-71,2147483647,37,5330,76,13,133189336,27173,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-108,2147483647,-108,-19,-79,2147483647,32,5330,48,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-111,2147483647,-111,-20,-83,2147483647,29,67086,8,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-107,2147483647,-107,-16,-83,2147483647,33,67086,190,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-109,2147483647,-109,-18,-83,2147483647,31,67086,143,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-112,2147483647,-112,-19,-83,2147483647,28,67086,394,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-106,2147483647,-106,-12,-85,2147483647,34,1000,3,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
4G_LTE,-111,2147483647,-111,-17,-85,2147483647,29,1000,472,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356126895,22605.549192522,2024-08-22 15:48:46.895000,-97.28341975151201,33.02199839480115,164.26322311239778,campaign_7,33.02199839480115,-97.28341975151201,164.26322311239778
