technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,campaign_name,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-100,8,-100,-12,-73,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202491890,16879.498411686,2024-08-20 21:08:11.890000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-110,2147483647,-110,-20,-81,2147483647,30,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202491890,16879.498411686,2024-08-20 21:08:11.890000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-107,2147483647,-107,-13,-81,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202492892,16880.499340019,2024-08-20 21:08:12.892000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-100,8,-100,-12,-73,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202492892,16880.499340019,2024-08-20 21:08:12.892000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-110,2147483647,-110,-20,-81,2147483647,30,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202492892,16880.499340019,2024-08-20 21:08:12.892000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-107,2147483647,-107,-13,-81,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202493912,16881.520037154,2024-08-20 21:08:13.912000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-100,8,-100,-12,-73,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202493912,16881.520037154,2024-08-20 21:08:13.912000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-110,2147483647,-110,-20,-81,2147483647,30,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202493912,16881.520037154,2024-08-20 21:08:13.912000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-108,2147483647,-108,-13,-77,2147483647,32,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202494910,16882.518628508,2024-08-20 21:08:14.910000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-100,8,-100,-13,-69,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202494910,16882.518628508,2024-08-20 21:08:14.910000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-109,2147483647,-109,-20,-79,2147483647,31,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202494910,16882.518628508,2024-08-20 21:08:14.910000,-111.4991783,36.9528222,1190.0536788585073,campaign_5,36.9528222,-111.4991783,1190.0536788585073
4G_LTE,-108,2147483647,-108,-13,-77,2147483647,32,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202495914,16883.52139481,2024-08-20 21:08:15.914000,-111.4991796472548,36.952822618113565,1194.4863505684452,campaign_5,36.952822618113565,-111.4991796472548,1194.4863505684452
4G_LTE,-100,8,-100,-13,-69,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202495914,16883.52139481,2024-08-20 21:08:15.914000,-111.4991796472548,36.952822618113565,1194.4863505684452,campaign_5,36.952822618113565,-111.4991796472548,1194.4863505684452
4G_LTE,-109,2147483647,-109,-20,-79,2147483647,31,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202495914,16883.52139481,2024-08-20 21:08:15.914000,-111.4991796472548,36.952822618113565,1194.4863505684452,campaign_5,36.952822618113565,-111.4991796472548,1194.4863505684452
4G_LTE,-107,2147483647,-107,-13,-79,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202496912,16884.521066841,2024-08-20 21:08:16.912000,-111.49918100539652,36.95282303960583,1198.9548418477564,campaign_5,36.95282303960583,-111.49918100539652,1198.9548418477564
4G_LTE,-100,8,-100,-13,-69,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202496912,16884.521066841,2024-08-20 21:08:16.912000,-111.49918100539652,36.95282303960583,1198.9548418477564,campaign_5,36.95282303960583,-111.49918100539652,1198.9548418477564
4G_LTE,-108,2147483647,-108,-20,-77,2147483647,32,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202496912,16884.521066841,2024-08-20 21:08:16.912000,-111.49918100539652,36.95282303960583,1198.9548418477564,campaign_5,36.95282303960583,-111.49918100539652,1198.9548418477564
4G_LTE,-107,2147483647,-107,-13,-79,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202497917,16885.524486476,2024-08-20 21:08:17.917000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-100,8,-100,-13,-69,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202497917,16885.524486476,2024-08-20 21:08:17.917000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-108,2147483647,-108,-20,-77,2147483647,32,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202497917,16885.524486476,2024-08-20 21:08:17.917000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-107,2147483647,-107,-14,-81,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202498916,16886.524633819,2024-08-20 21:08:18.916000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-99,8,-99,-12,-69,2147483647,41,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202498916,16886.524633819,2024-08-20 21:08:18.916000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-110,2147483647,-110,-20,-77,2147483647,30,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202498916,16886.524633819,2024-08-20 21:08:18.916000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-107,2147483647,-107,-14,-81,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202499916,16887.525135589,2024-08-20 21:08:19.916000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-99,8,-99,-12,-69,2147483647,41,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202499916,16887.525135589,2024-08-20 21:08:19.916000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-110,2147483647,-110,-20,-77,2147483647,30,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202499916,16887.525135589,2024-08-20 21:08:19.916000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-107,2147483647,-107,-13,-79,2147483647,33,66486,242,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202500917,16888.526500745,2024-08-20 21:08:20.917000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-100,8,-100,-11,-71,2147483647,40,66486,437,31,123557912,33028,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724202500917,16888.526500745,2024-08-20 21:08:20.917000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
4G_LTE,-112,2147483647,-112,-20,-81,2147483647,28,66486,349,31,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724202500917,16888.526500745,2024-08-20 21:08:20.917000,-111.4991812,36.9528231,1199.595116650303,campaign_5,36.9528231,-111.4991812,1199.595116650303
