RSRQ (LTE pcell),RSRP (LTE pcell),Physical cell identity (LTE pcell),Time,time,nemo_abs_time,longitude,latitude,altitude
-12.6,-66.9,163,28:44.3,2024-08-20 00:28:44.300,1724128124300.0,-115.153831,36.254768,618.0
-11.8,-67.3,163,28:45.1,2024-08-20 00:28:45.100,1724128125100.0,-115.153831,36.254768,618.0
-11.8,-65.5,163,28:45.7,2024-08-20 00:28:45.700,1724128125700.0,-115.153831,36.254768,618.0
-10.6,-66.5,163,28:46.4,2024-08-20 00:28:46.400,1724128126400.0,-115.153831,36.254768,618.0
-14.6,-67.1,163,28:47.1,2024-08-20 00:28:47.100,1724128127100.0,-115.153831,36.254768,618.0
-13.4,-65.3,163,28:47.7,2024-08-20 00:28:47.700,1724128127700.0,-115.153831,36.254768,618.0
-13.0,-67.3,163,28:48.4,2024-08-20 00:28:48.400,1724128128400.0,-115.153831,36.254768,618.0
-12.0,-67.3,163,28:48.9,2024-08-20 00:28:48.900,1724128128900.0,-115.153831,36.254768,618.0
-12.6,-66.9,163,28:49.6,2024-08-20 00:28:49.600,1724128129600.0,-115.153831,36.254768,618.0
-13.1,-67.3,163,28:50.3,2024-08-20 00:28:50.300,1724128130300.0,-115.153831,36.254768,618.0
-13.1,-67.3,163,28:51.0,2024-08-20 00:28:51.000,1724128131000.0,-115.153831,36.254768,618.0
-13.3,-61.7,163,28:51.6,2024-08-20 00:28:51.600,1724128131600.0,-115.1538358,36.2547662,618.6
-14.5,-63.9,163,28:52.3,2024-08-20 00:28:52.300,1724128132300.0,-115.153839,36.254765,618.7
-11.2,-65.4,163,28:52.9,2024-08-20 00:28:52.900,1724128132900.0,-115.153839,36.254765,618.1
-12.1,-64.3,163,28:53.6,2024-08-20 00:28:53.600,1724128133600.0,-115.153839,36.254765,618.0
-12.6,-63.3,163,28:54.2,2024-08-20 00:28:54.200,1724128134200.0,-115.153839,36.2547656,618.0
-11.8,-65.9,163,28:55.0,2024-08-20 00:28:55.000,1724128135000.0,-115.153839,36.254768,618.0
-15.1,-66.7,163,28:55.6,2024-08-20 00:28:55.600,1724128135600.0,-115.153839,36.2547662,618.0
-14.8,-67.1,163,28:56.3,2024-08-20 00:28:56.300,1724128136300.0,-115.1538366,36.254765899999995,617.7
-10.4,-67.8,163,28:57.0,2024-08-20 00:28:57.000,1724128137000.0,-115.153831,36.254768,617.0
-11.0,-65.8,163,28:57.5,2024-08-20 00:28:57.500,1724128137500.0,-115.153835,36.25477,616.5
-10.9,-65.3,163,28:58.1,2024-08-20 00:28:58.100,1724128138100.0,-115.153839,36.254772,616.0
-11.3,-65.4,163,28:58.8,2024-08-20 00:28:58.800,1724128138800.0,-115.153839,36.254772,616.0
-12.3,-67.3,163,28:59.5,2024-08-20 00:28:59.500,1724128139500.0,-115.153839,36.254772,616.0
-13.5,-71.8,163,29:00.0,2024-08-20 00:29:00.000,1724128140000.0,-115.153839,36.254772,616.0
-12.4,-67.8,163,29:00.5,2024-08-20 00:29:00.500,1724128140500.0,-115.153835,36.254772,616.0
-15.4,-71.1,163,29:01.1,2024-08-20 00:29:01.100,1724128141100.0,-115.153831,36.2547724,616.0
-12.9,-66.8,163,29:01.6,2024-08-20 00:29:01.600,1724128141600.0,-115.153831,36.2547744,616.0
-12.1,-67.6,163,29:02.3,2024-08-20 00:29:02.300,1724128142300.0,-115.153831,36.254776,616.0
-13.1,-65.8,163,29:03.0,2024-08-20 00:29:03.000,1724128143000.0,-115.153831,36.254776,616.0
-12.8,-67.4,163,29:03.5,2024-08-20 00:29:03.500,1724128143500.0,-115.153831,36.254776,616.0
-11.9,-66.3,163,29:04.1,2024-08-20 00:29:04.100,1724128144100.0,-115.153831,36.254776,616.0
-11.9,-66.0,163,29:04.8,2024-08-20 00:29:04.800,1724128144800.0,-115.153831,36.254776,616.0
-11.6,-64.4,163,29:05.6,2024-08-20 00:29:05.600,1724128145600.0,-115.153831,36.254776,616.0
