"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","chu","TimeFrame","GeoVintage","Source","Location"
"Census Tract","35045000706","NM","35045000706","=""35045000706""","1240","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045000707","NM","35045000707","=""35045000707""","1520","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045000708","NM","35045000708","=""35045000708""","1393","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045000900","NM","35045000900","=""35045000900""","702","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045942801","NM","35045942801","=""35045942801""","1003","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045942802","NM","35045942802","=""35045942802""","2073","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045942803","NM","35045942803","=""35045942803""","928","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045942900","NM","35045942900","=""35045942900""","2075","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045943000","NM","35045943000","=""35045943000""","1396","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045943100","NM","35045943100","=""35045943100""","852","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045943201","NM","35045943201","=""35045943201""","2154","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35045943300","NM","35045943300","=""35045943300""","848","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957200","NM","35047957200","=""35047957200""","2025","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957300","NM","35047957300","=""35047957300""","1423","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957400","NM","35047957400","=""35047957400""","2296","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957501","NM","35047957501","=""35047957501""","1439","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957502","NM","35047957502","=""35047957502""","1362","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957601","NM","35047957601","=""35047957601""","1321","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957602","NM","35047957602","=""35047957602""","865","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957603","NM","35047957603","=""35047957603""","983","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957700","NM","35047957700","=""35047957700""","1132","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35047957800","NM","35047957800","=""35047957800""","1991","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000102","NM","35049000102","=""35049000102""","1932","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000103","NM","35049000103","=""35049000103""","1239","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000201","NM","35049000201","=""35049000201""","1099","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000202","NM","35049000202","=""35049000202""","1706","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000300","NM","35049000300","=""35049000300""","1213","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000400","NM","35049000400","=""35049000400""","339","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000500","NM","35049000500","=""35049000500""","2107","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000600","NM","35049000600","=""35049000600""","1620","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000700","NM","35049000700","=""35049000700""","1379","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000800","NM","35049000800","=""35049000800""","1615","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049000900","NM","35049000900","=""35049000900""","1868","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001001","NM","35049001001","=""35049001001""","1199","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001002","NM","35049001002","=""35049001002""","1955","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001102","NM","35049001102","=""35049001102""","2047","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001103","NM","35049001103","=""35049001103""","917","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001105","NM","35049001105","=""35049001105""","1431","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001106","NM","35049001106","=""35049001106""","1664","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001107","NM","35049001107","=""35049001107""","2557","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001202","NM","35049001202","=""35049001202""","2847","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001203","NM","35049001203","=""35049001203""","1029","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001205","NM","35049001205","=""35049001205""","2098","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001206","NM","35049001206","=""35049001206""","1480","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001207","NM","35049001207","=""35049001207""","1170","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001301","NM","35049001301","=""35049001301""","674","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001302","NM","35049001302","=""35049001302""","991","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001304","NM","35049001304","=""35049001304""","416","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001305","NM","35049001305","=""35049001305""","1913","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049001306","NM","35049001306","=""35049001306""","853","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010102","NM","35049010102","=""35049010102""","2324","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010204","NM","35049010204","=""35049010204""","1267","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010205","NM","35049010205","=""35049010205""","858","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010304","NM","35049010304","=""35049010304""","2017","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010308","NM","35049010308","=""35049010308""","947","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010309","NM","35049010309","=""35049010309""","1320","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010310","NM","35049010310","=""35049010310""","625","2019-2023","2022","Census","New Mexico (State)"
