technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode
4G_LTE,-106,2147483647,-106,-17,-79,2147483647,34,5330,42,8,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351761365,18303.007763903,2024-08-22 14:36:01.365000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-97,2147483647,-97,-13,-69,2147483647,43,1000,474,8,133809161,28170,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724351761365,18303.007763903,2024-08-22 14:36:01.365000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-103,2147483647,-103,-12,-81,2147483647,37,9820,466,8,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351761365,18303.007763903,2024-08-22 14:36:01.365000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-105,2147483647,-105,-16,-79,2147483647,35,9820,83,8,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351761365,18303.007763903,2024-08-22 14:36:01.365000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-111,2147483647,-111,-18,-81,2147483647,29,9820,468,8,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351761365,18303.007763903,2024-08-22 14:36:01.365000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-105,2147483647,-105,-16,-79,2147483647,35,9820,83,8,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351761365,18303.007763903,2024-08-22 14:36:01.365000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-110,2147483647,-110,-17,-81,2147483647,30,5330,443,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4361506226917,33.03665752707183,232.90511852317428,484971506031009.0,TX,48497150603.0,58516745.0,484971506031009.0,264037.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-95,2147483647,-95,-11,-63,2147483647,45,1000,474,9,133809161,28170,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-115,2147483647,-115,-20,-85,2147483647,25,5330,42,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-107,2147483647,-107,-13,-85,2147483647,33,5330,275,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-104,2147483647,-104,-18,-73,2147483647,36,67086,420,9,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-97,2147483647,-97,-11,-77,2147483647,43,67086,97,9,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,9820,83,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-102,2147483647,-102,-17,-77,2147483647,38,1000,38,9,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-102,2147483647,-102,-17,-77,2147483647,38,1000,38,9,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-95,2147483647,-95,-11,-63,2147483647,45,1000,474,9,133809161,28170,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-115,2147483647,-115,-20,-85,2147483647,25,5330,42,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-104,2147483647,-104,-11,-83,2147483647,36,9820,466,9,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-104,2147483647,-104,-18,-73,2147483647,36,67086,420,9,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-97,2147483647,-97,-11,-77,2147483647,43,67086,97,9,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,9820,83,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-111,2147483647,-111,-17,-83,2147483647,29,9820,468,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-111,2147483647,-111,-17,-83,2147483647,29,9820,468,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-110,2147483647,-110,-17,-81,2147483647,30,5330,443,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-107,2147483647,-107,-13,-85,2147483647,33,5330,275,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-104,2147483647,-104,-11,-83,2147483647,36,9820,466,9,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351762363,18304.00663458,2024-08-22 14:36:02.363000,-97.4363389,33.0366482,233.353800387884,484971506031003.0,TX,48497150603.0,58516745.0,484971506031003.0,4107651.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
4G_LTE,-104,2147483647,-104,-18,-73,2147483647,36,67086,420,9,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351763372,18305.015487548,2024-08-22 14:36:03.372000,-97.4361248690908,33.03665880287978,232.8437453615331,484971506031009.0,TX,48497150603.0,58516745.0,484971506031009.0,264037.0,48497.0,Wise County,242.59,1.0,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0
